Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
51;199844;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;191279;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;197781;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;196619;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;193673;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;200827;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;194495;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;199715;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;191228;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60;193924;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;209252;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;209162;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;192401;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;209252;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;203952;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;206688;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;221485;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;199023;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;197180;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;207178;487751680;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;201278;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;194225;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;212138;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;205105;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;211977;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;190837;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;191609;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;199454;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
79;213871;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;194875;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;213120;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
82;207489;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
83;213370;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
84;221004;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
85;216295;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
