Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
18698,3842827,20258242560,40194048,47724871680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18699,7183722,20259323904,40194048,47724871680,5241410,0,611707,0,0,0,0,0,0,0,0,14998,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18700,4334469,20268752896,40194048,47758426112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18701,4456678,20283441152,40194048,47808757760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18702,7046626,20284252160,40194048,47808757760,5588982,0,613050,0,0,0,0,0,0,0,0,4799,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18703,4340380,20293427200,40194048,47842312192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18704,3458446,20301815808,40194048,47875866624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18705,6905049,20306530304,40194048,47909421056,3063765,0,610145,0,0,0,0,0,0,0,0,4549,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18706,4975922,20320157696,40194048,47942975488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18707,1365120,20320157696,40194048,47942975488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18708,3661045,20320157696,40194048,47942975488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18709,4413768,20320157696,40194048,47942975488,2377960,0,601758,0,0,0,0,0,0,0,0,5029,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18710,4337936,20329512960,40194048,47976529920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18711,2714891,20333707264,40194048,47993307136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18712,3744182,20333944832,40194048,47993307136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18713,1599670,20333944832,40194048,47993307136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18714,5925292,20336566272,40194048,48010084352,2307487,0,606608,0,0,0,0,0,0,0,0,4909,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18715,3127154,20339191808,40194048,48010084352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18716,3914561,20339191808,40194048,48010084352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18717,1509180,20339191808,40194048,48010084352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18718,3554345,20339191808,40194048,48010084352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18719,4238789,20339191808,40194048,48010084352,2334919,0,592291,0,0,0,0,0,0,0,0,4548,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18720,4251092,20348104704,40194048,48043638784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18721,3165387,20352299008,40194048,48060416000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18722,3704307,20352299008,40194048,48060416000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18723,4011433,20352299008,40194048,48060416000,2201849,0,593002,0,0,0,0,0,0,0,0,4448,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18724,4247606,20357021696,40194048,48077193216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18725,2695896,20361216000,40194048,48093970432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18726,3841124,20361216000,40194048,48093970432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18727,1475547,20361216000,40194048,48093970432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18728,32942570,20362280960,41193472,48094969856,32007536,0,590738,0,29732570,39404,3724915,23208725,22286645,921198,2696317,4398,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18729,14783705,20420259840,41193472,48094969856,7943076,0,1116794,0,0,0,0,0,0,0,0,6141,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18730,4697299,20448710656,41193472,48094969856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18731,4561494,20448710656,41193472,48094969856,2234511,0,566212,0,0,0,0,0,0,0,0,3166,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18732,4106231,20466118656,41193472,48094969856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18733,3231170,20466118656,41193472,48094969856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18734,3649304,20466118656,41193472,48094969856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18735,4338516,20465364992,40280064,48094056448,2257043,0,580449,0,0,0,0,0,0,0,0,4429,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18736,4119305,20509818880,40280064,48094056448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
