timestamp,cpu_percent,rss
1722592484.644509,28.6,5187756032
1722592485.6448872,18.8,5190725632
1722592486.6452537,20.6,5244600320
1722592487.645611,20.4,5273305088
1722592488.6459804,20.6,5312172032
1722592489.6463614,20.6,5261570048
1722592490.6467123,20.3,5284614144
1722592491.647059,20.1,5263413248
1722592492.6474366,20.1,5296549888
1722592493.6478357,20.6,5276524544
1722592494.6482208,20.8,5276520448
1722592495.6486025,21.4,5500960768
1722592496.6491122,37.9,5677686784
1722592497.6495686,42.0,5881892864
1722592498.6501427,41.7,5929263104
1722592499.650628,43.3,5906821120
1722592500.6511226,42.8,5910953984
1722592501.651657,43.6,5910179840
1722592502.6520884,40.4,5936832512
1722592503.6526146,40.6,5915979776
1722592504.6530292,36.2,5916839936
1722592505.6536858,33.8,5916725248
1722592506.654288,34.5,5935001600
1722592507.654847,33.1,5913300992
1722592508.6553993,36.1,5939531776
1722592509.6559603,35.9,5940391936
1722592510.6565514,36.4,5918126080
1722592511.6571395,36.4,5941108736
1722592512.6576908,35.3,5919080448
1722592513.658287,36.5,5918105600
1722592514.6588442,36.0,5943504896
1722592515.6593738,35.6,5920436224
1722592516.6599505,35.2,5920579584
1722592517.660519,32.7,5937856512
1722592518.661126,30.1,5921271808
1722592519.6616657,31.1,5922107392
1722592520.662213,29.9,5921447936
1722592521.6627662,30.0,5947273216
1722592522.6632895,31.8,5921763328
1722592523.663925,30.2,5921726464
1722592524.6645217,31.0,5921968128
1722592525.6650674,30.7,5921796096
1722592526.665589,30.9,5944692736
1722592527.6661181,30.4,5944135680
1722592528.666653,30.8,5945044992
1722592529.6672537,31.6,5921488896
1722592530.667777,30.4,5971787776
1722592531.6682892,30.6,5971673088
1722592532.6688297,30.6,5971767296
1722592533.6693792,31.0,5971763200
1722592534.6699827,30.3,5971783680
1722592535.6705422,32.5,5968744448
1722592536.6710749,31.5,5971271680
1722592537.67163,30.2,5971476480
1722592538.6721728,29.9,5971681280
1722592539.6726859,29.7,5975097344
1722592540.673244,29.6,5977276416
1722592541.674031,30.6,5977391104
1722592542.674723,30.3,5977415680
1722592543.6756208,30.8,5980459008
1722592544.6762283,30.9,5975863296
1722592545.6768591,29.7,5976236032
1722592546.6774344,29.2,5982298112
1722592547.677986,30.4,5978210304
1722592548.6784384,30.3,5978472448
1722592549.6789997,28.8,5984215040
1722592550.6795497,30.4,5979017216
1722592551.68016,29.0,5981261824
1722592552.6807861,28.4,5981970432
1722592553.6813858,30.4,5983264768
1722592554.6819425,28.9,5983612928
1722592555.6824763,28.1,5983350784
1722592556.68308,28.6,5987897344
1722592557.6836984,30.9,5988442112
1722592558.6842515,29.9,5983817728
1722592559.6847959,30.7,5988548608
1722592560.6852868,31.3,5983928320
1722592561.685861,30.7,5984215040
1722592562.6864653,29.8,5984358400
1722592563.6870193,29.3,5984096256
1722592564.6875753,29.3,5984440320
1722592565.6880968,30.4,5983858688
1722592566.6886911,30.8,5987995648
1722592567.6892037,29.7,5988368384
1722592568.6897988,29.7,5988745216
1722592569.6902921,28.9,5988515840
1722592570.6908946,30.8,5988200448
1722592571.6914806,29.8,5988257792
1722592572.692029,30.3,5988405248
1722592573.6926653,29.8,5988548608
1722592574.6932232,28.9,5988892672
1722592575.6938732,29.8,5993574400
1722592576.6943922,29.0,5988724736
1722592577.6951668,29.2,5989498880
1722592578.6957119,29.5,5988728832
1722592579.6962783,29.6,5988753408
1722592580.696657,28.8,5995393024
1722592581.697064,27.1,5995851776
1722592582.697774,27.4,6000013312
1722592583.6983507,30.4,5999980544
1722592584.6989007,31.2,5999980544
1722592585.6994426,29.3,6002106368
1722592586.6999557,29.0,6002139136
1722592587.7005174,30.0,6002106368
1722592588.7011359,30.1,6002106368
1722592589.701723,29.7,6002135040
1722592590.7022886,29.8,6002200576
1722592591.7028086,28.8,6002200576
1722592592.7033868,28.0,6004297728
1722592593.703944,28.5,6004297728
1722592594.7044888,27.1,5976797184
1722592595.7050216,27.9,5976825856
1722592596.7055612,30.1,5976825856
1722592597.7061338,28.5,5976858624
1722592598.706694,28.2,5978951680
1722592599.7073853,29.2,5978951680
1722592600.7080076,29.6,5979017216
1722592601.7085853,26.9,5981048832
1722592602.7091217,29.2,5981048832
1722592603.7096105,29.7,5981048832
1722592604.7100008,28.7,5981003776
1722592605.7105532,28.2,5980979200
1722592606.710912,28.8,5980979200
1722592607.7112846,29.0,5980979200
1722592608.7118032,28.8,5981007872
1722592609.7123692,29.5,5981036544
1722592610.7129488,29.8,5981036544
1722592611.71355,28.9,5991055360
1722592612.7140906,28.6,5990621184
1722592613.714677,29.2,5992775680
1722592614.7151952,29.3,5992833024
1722592615.7158504,28.9,5992861696
1722592616.716399,28.4,5992947712
1722592617.7169797,28.3,5992976384
1722592618.7175422,28.5,5995257856
1722592619.718107,27.6,5995307008
1722592620.718824,29.1,5995368448
1722592621.719286,28.7,5995397120
1722592622.7198358,28.5,5995429888
1722592623.7204022,28.3,5995429888
1722592624.7209384,29.0,5995429888
1722592625.7214804,28.7,5995565056
1722592626.721997,28.8,5995597824
1722592627.7223938,28.3,5995597824
1722592628.7227495,29.1,5995655168
1722592629.7231555,29.0,5995622400
1722592630.7238328,28.7,5995655168
1722592631.7244008,28.5,6012690432
1722592632.725008,28.4,6012686336
1722592633.725566,28.3,6012772352
1722592634.7261567,28.8,6012829696
1722592635.7267866,28.7,6012858368
1722592636.727417,28.0,6012506112
1722592637.727918,28.4,6014726144
1722592638.7284725,28.4,6014722048
1722592639.7290807,27.8,6014783488
1722592640.7296002,27.2,6014750720
1722592641.7301562,28.7,6014836736
1722592642.7307632,28.7,6015029248
1722592643.7315633,27.8,6015086592
1722592644.7320862,28.5,6015242240
1722592645.7326992,28.8,6017208320
1722592646.733238,29.1,6029967360
1722592647.7338164,27.6,6029938688
1722592648.7343469,28.8,6029996032
1722592649.7349532,28.2,6030053376
1722592650.7354827,27.3,6030106624
1722592651.7358902,26.7,6030102528
1722592652.7364633,27.0,6020304896
1722592653.7370288,28.1,6019645440
1722592654.7376845,28.4,6020222976
1722592655.7382607,26.2,6019821568
1722592656.7388177,26.8,6038786048
1722592657.7392557,27.7,6019563520
1722592658.739762,26.9,6019768320
1722592659.7405336,27.0,6020255744
1722592660.7412407,27.7,6020173824
1722592661.7418754,28.4,6039252992
1722592662.7425828,27.7,6040571904
1722592663.7431421,27.5,6022275072
1722592664.7437623,27.9,6022156288
1722592665.7442987,27.7,6022131712
1722592666.744996,26.8,6048456704
1722592667.7455573,27.3,6050066432
1722592668.745922,27.3,6031990784
1722592669.7463727,28.2,6031642624
1722592670.7467282,27.6,6032138240
1722592671.7472112,28.5,6049128448
1722592672.7476025,28.1,6052941824
1722592673.7479568,27.7,6037774336
1722592674.748367,28.2,6055936000
1722592675.7487981,27.7,6056853504
1722592676.7491968,28.0,6037458944
1722592677.7496006,28.0,6037491712
1722592678.7500098,28.0,6038380544
1722592679.7503948,27.4,6038376448
1722592680.7507923,26.9,6039261184
1722592681.7513485,28.3,6042476544
1722592682.7519138,28.0,6061359104
1722592683.7525656,27.8,6041563136
1722592684.7530928,26.3,6041993216
1722592685.7536817,27.0,6041702400
1722592686.7545528,26.7,6041706496
1722592687.755095,27.3,6043975680
1722592688.7554615,27.7,6043230208
1722592689.7558842,27.5,6043664384
1722592690.7562475,27.9,6087847936
1722592691.756651,28.2,6087847936
1722592692.7570095,28.3,6087847936
1722592693.757483,28.3,6087847936
1722592694.7580662,27.8,6087847936
1722592695.7584794,27.7,6087847936
1722592696.7588797,27.6,6087847936
1722592697.759438,27.7,6087815168
1722592698.7600226,27.4,6087847936
1722592699.7606874,26.3,6087847936
1722592700.7615166,26.8,6087847936
1722592701.762064,27.7,6089879552
1722592702.7626622,27.4,6089879552
1722592703.7631972,27.6,6089879552
1722592704.763776,27.1,6089879552
1722592705.7642953,27.5,6089879552
1722592706.7648067,26.9,6089912320
1722592707.765443,27.9,6089940992
1722592708.765986,27.4,6089940992
1722592709.7665763,27.7,6089908224
1722592710.7671456,27.6,6089842688
1722592711.7678337,27.0,6089842688
1722592712.7684598,27.0,6089842688
1722592713.7690284,27.5,6089420800
1722592714.7696562,27.6,6089818112
1722592715.770192,27.4,6089818112
1722592716.7707903,27.6,6091915264
1722592717.771294,26.8,6091882496
1722592718.77184,27.6,6094012416
1722592719.7723858,26.8,6094012416
1722592720.7729135,27.4,6094012416
1722592721.7735226,26.7,6094012416
1722592722.774101,27.1,6094012416
1722592723.7746851,27.4,6094012416
1722592724.775205,29.4,6096871424
1722592725.7757962,28.8,6095003648
1722592726.7763565,27.8,6094397440
1722592727.7769103,26.9,6095278080
1722592728.7774901,27.7,6149345280
1722592729.7781098,27.1,6151929856
1722592730.7786226,27.3,6151958528
1722592731.7791626,27.1,6151958528
1722592732.7796953,27.0,6152015872
1722592733.7801075,27.1,6151917568
1722592734.7804852,27.5,6151950336
1722592735.7808938,28.2,6151950336
1722592736.7814353,26.9,6151950336
1722592737.7819824,28.0,6151983104
1722592738.7826192,27.4,6154678272
1722592739.7831643,26.1,6154678272
1722592740.7837672,28.7,6154678272
1722592741.7842908,27.2,6154678272
1722592742.7847512,27.5,6154711040
1722592743.7851188,27.1,6154772480
1722592744.7855225,26.7,6154641408
1722592745.7859051,26.6,6154641408
1722592746.7862673,26.9,6156738560
1722592747.7869046,27.6,6156705792
1722592748.7874448,27.9,6159515648
1722592749.7879612,26.9,6159228928
1722592750.7883465,27.9,6161326080
1722592751.7887118,27.2,6161358848
1722592752.789107,27.0,6161358848
1722592753.7895002,27.2,6161358848
1722592754.7898624,28.2,6161358848
1722592755.790403,27.1,6161326080
1722592756.790958,26.9,6161326080
1722592757.7914732,27.4,6161326080
1722592758.7920933,27.7,6161977344
1722592759.792647,26.6,6161948672
1722592760.7931998,26.0,6161948672
1722592761.793746,26.1,6161948672
1722592762.7942743,26.6,6161944576
1722592763.7948234,26.5,6178775040
1722592764.7953432,26.5,6182998016
1722592765.7958615,27.2,6182998016
1722592766.7963884,26.5,6183026688
1722592767.7969327,25.7,6183059456
1722592768.7975209,26.6,6186057728
1722592769.798083,26.1,6186057728
1722592770.7984989,26.3,6186057728
1722592771.7989254,25.8,6186057728
1722592772.7993743,26.1,6186057728
1722592773.7997842,27.4,6186086400
1722592774.80016,27.7,6186086400
1722592775.8005588,27.5,6186119168
1722592776.8009524,26.8,6186086400
1722592777.801277,27.1,6186119168
1722592778.801668,28.0,6189207552
1722592779.80212,28.2,6189072384
1722592780.8026853,27.4,6189072384
1722592781.8032892,26.7,6189170688
1722592782.803836,27.4,6189068288
1722592783.804375,27.2,6189068288
1722592784.8049355,26.6,6189068288
1722592785.8054636,26.0,6191198208
1722592786.8060567,26.1,6191165440
1722592787.8066115,27.2,6191230976
1722592788.8073652,26.2,6087176192
1722592789.8079352,26.7,6145630208
1722592790.8082762,27.4,6145658880
1722592791.8086548,27.3,6149853184
1722592792.8090382,26.4,6149877760
1722592793.8094485,26.9,6149844992
1722592794.809833,21.9,5776547840
1722592795.810216,21.9,5776547840
1722592796.8108485,21.8,5776576512
1722592797.8114696,23.3,5789110272
