Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
13281,1047374,603815936,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13282,3377574,603815936,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13283,1744281,603815936,26877952,701784064,632827,0,31178,0,0,0,0,0,0,2565,1728.0,3348.0,0.0,76.0,0.0,1.0
13284,3089244,603815936,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13285,722215,603815936,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13286,2762151,603815936,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13287,671038,603815936,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13288,3578892,603815936,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13289,762450,603815936,26873856,701779968,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13290,3557482,603815936,26873856,701779968,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13291,1303014,603815936,26873856,701779968,599645,0,26559,0,0,0,0,0,0,1734,1728.0,3348.0,0.0,76.0,0.0,1.0
13292,3442025,603815936,26873856,701779968,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13293,1034440,603815936,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13294,3367976,603815936,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
