Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
14495,3842516,13330685952,27009024,44943433728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14496,2764204,13330685952,27009024,44943433728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14497,3676355,13330685952,27009024,44943433728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14498,4611308,13330685952,27009024,44943433728,1986796,0,473027,179547,0,0,0,0,0,0,0,4939,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14499,3897108,13342486528,27009024,44993765376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14500,5088032,13370994688,27009024,45111205888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14501,3985895,13375188992,27009024,45111205888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14502,4023996,13375188992,27009024,45111205888,1940008,0,467467,241253,0,0,0,0,0,0,0,5350,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14503,3779328,13375188992,27009024,45111205888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14504,2385123,13375188992,27009024,45111205888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14505,3638463,13375188992,27009024,45111205888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14506,2550033,13375188992,27009024,45111205888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14507,5271326,13375188992,27009024,45111205888,1617554,0,451747,87614,0,0,0,0,0,0,0,3988,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14508,2470133,13375188992,27009024,45111205888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14509,1164804,13375188992,27009024,45111205888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14510,3690742,13375188992,27009024,45111205888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14511,2753213,13375188992,27009024,45111205888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,30.0
14512,5576047,13375188992,27009024,45111205888,1803472,0,453871,139712,0,0,0,0,0,0,0,5350,0,0,0.0,0.0,0.0,267.0,0.0,30.0
