filename,Main Thread,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,PropInputBlocks,PropActiveLogicBlocks,FPS,terrain_type,Chunks,players,active_logic,Main Thread_other,ServerFixedUpdate_other,TerrainLogicSystem_other,CPU
pareto-activeLogic_1-Layer_6x_6z_120p_120s.csv,4917530.2219143575,894024.4429471033,0.0,288505.9268261965,0.0,49606.5513434089,67.86540722082283,5386.006549118388,41536.42888329135,2514.3030226700253,1374.3978169605373,40523.76838790932,1011.5148194794291,203.35411372636315,1-Layer,36,120,True,4023505.7789672543,554537.5669605373,101.94748110831279,934.5358333333334
pareto-activeLogic_1-Layer_6x_6z_160p_120s.csv,5431391.080460843,1246648.080833994,0.0,437422.86538551236,0.0,52164.779980409534,75.76869256961612,6643.463594384067,42244.15970894165,3084.9833014599562,1414.0309715938242,41022.903586921035,1220.0749102103644,184.11489527930513,1-Layer,36,160,True,4184742.999626849,755646.4044964784,116.4046830542502,1254.0441666666666
pareto-activeLogic_1-Layer_6x_6z_200p_120s.csv,10771170.400535649,4431815.144163281,88.65810860731438,1046978.6493350572,0.0,729796.8335796085,499.49713705208717,69227.67491688216,639316.3840044329,19953.223402290358,2580.869227927595,631437.6548762468,7868.810768378278,92.84042149683847,1-Layer,36,200,True,6339355.256372368,2652370.13391208,800.0541189508513,1578.7441666666668
pareto-activeLogic_1-Layer_6x_6z_40p_120s.csv,3548606.7589643854,308120.6061444026,7.993284307767109,54573.1968214416,0.0,17846.179500425427,38.79378874437827,3631.7981341922937,13037.583687857055,1081.2504862039625,949.3144828005348,12608.211225233985,428.7074571532758,281.80073700018454,1-Layer,36,40,True,3240486.1528199827,234743.92205542728,56.753403427737794,463.9383333333334
pareto-activeLogic_1-Layer_6x_6z_80p_120s.csv,4105686.5146841845,533794.045457739,0.0,143243.4351507061,0.0,27384.006850277525,50.890079392960025,2381.625658680531,23219.225637602754,1660.6423452539873,1191.8705824492376,22530.233752546897,687.8947165038994,243.56462589714343,1-Layer,36,80,True,3571892.4692264455,361974.73287430615,71.62312934729198,668.2475000000001
pareto-activeLogic_2-Layer_6x_6z_120p_120s.csv,4921116.245079821,919749.9480952783,0.0,293744.803446237,0.0,71538.3386265732,78.30344623701326,9763.594729284569,56014.114621167326,5563.317340991638,1388.2558070783004,53783.971661457894,2228.033153137934,203.20592934576777,2-Layer,72,120,True,4001366.2969845426,553078.5502153898,119.00848889265035,941.8433333333334
pareto-activeLogic_2-Layer_6x_6z_160p_120s.csv,5925331.685232368,1542201.9742152467,25.827048512026092,481208.62714023644,0.0,170106.19435385242,130.65078475336324,33981.74694251936,125702.74918467183,10087.696646962902,1522.3330105992661,121690.40460660416,4009.447462291072,168.76692362931982,2-Layer,72,160,True,4383129.711017122,889338.9926620466,203.3507949449704,1254.2241666666666
pareto-activeLogic_2-Layer_6x_6z_200p_120s.csv,8616601.83073398,3073040.9582378594,39.228028679133715,849689.1658659177,0.0,370356.6018922315,281.4060906201493,65250.82023800725,278716.8291817577,25630.941680833763,2158.27939980782,268550.5870352576,10160.759405721044,116.05503186107161,2-Layer,72,200,True,5543560.87249612,1850797.6830512232,476.604701012664,1605.0125
pareto-activeLogic_2-Layer_6x_6z_40p_120s.csv,3588352.884367322,323501.36937960685,0.0,56053.8132985258,0.0,25053.198003685502,38.94957002457002,2282.1007985257984,20570.773617936116,2103.082585995086,976.792843980344,19724.22625921376,845.8427825552826,278.67939197298716,2-Layer,72,40,True,3264851.514987715,241417.56523341523,58.29143120393201,454.45750000000004
pareto-activeLogic_2-Layer_6x_6z_80p_120s.csv,4347639.858585483,613311.6070540189,0.0,155910.07469834786,0.0,53342.17245219974,61.168739558195654,7069.952515314646,42246.269315017635,3873.8273250417674,1260.0353443475033,40691.835344347506,1553.1804715054761,230.0098519028098,2-Layer,72,80,True,3734328.2515314645,402799.3245591238,90.9545572674906,683.3441666666666
