Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,chunkX,chunkZ,active_logic,Chunks,players,duration,terrain_type
425906481.0,114196786142.0,789320932122624.0,628954607616.0,1511834806702080.0,43251012275.0,0.0,10689783292.0,0.0,10197565727.0,4836417.0,2028232895.0,7594066677.0,7345310636.0,248657689.0,562528867.0,27745418.0,0.0,0.0,24216192.0,46918872.0,0.0,1247246.0,0.0,2802800.0,pareto-activeLogic_3-Layer_6x_6z_200p_120s.csv,14014,6,6,True,108,200,120,3-Layer
974832145.0,116753198170.0,308566141485056.0,1162650353664.0,643739644067840.0,11107391370.0,1247430.0,1875929793.0,0.0,1345164795.0,1469316.0,101442752.0,1101787173.0,1055933881.0,45829105.0,138332571.0,32222355.0,0.0,0.0,54241920.0,105093720.0,0.0,2785324.0,0.0,1255600.0,pareto-activeLogic_3-Layer_6x_6z_40p_120s.csv,31390,6,6,True,108,40,120,3-Layer
773837680.0,117004566834.0,540428664524800.0,1192213716992.0,1067792348532736.0,17759550652.0,390272.0,4437264646.0,0.0,2235069147.0,1920245.0,297209611.0,1756572137.0,1686569078.0,69960311.0,176591619.0,34846462.0,0.0,0.0,44383680.0,85993380.0,0.0,2283790.0,0.0,2054800.0,pareto-activeLogic_3-Layer_6x_6z_80p_120s.csv,25685,6,6,True,108,80,120,3-Layer
755929161.0,117106488768.0,749518699401216.0,1042102767616.0,1463786038063104.0,25404863245.0,0.0,6672241512.0,0.0,5653895637.0,2653660.0,807205181.0,4449218683.0,4295680093.0,153474356.0,390529785.0,31243678.0,0.0,0.0,53644032.0,103935312.0,0.0,2072187.0,0.0,2793960.0,pareto-activeLogic_4-Layer_6x_6z_120p_120s.csv,23283,6,6,True,144,120,120,4-Layer
633568005.0,115264388184.0,877131489386496.0,1162130944000.0,1691434173435904.0,31915031400.0,0.0,9041651316.0,0.0,6661952471.0,2990908.0,1201003673.0,4974317185.0,4789611541.0,184645750.0,478735562.0,29546150.0,0.0,0.0,45577728.0,88306848.0,0.0,1760598.0,0.0,3165120.0,pareto-activeLogic_4-Layer_6x_6z_160p_120s.csv,19782,6,6,True,144,160,120,4-Layer
458585100.0,115638119372.0,854486209363968.0,861838073856.0,1639020457308160.0,42441806360.0,0.0,10756570082.0,0.0,9858152928.0,4286394.0,1675309804.0,7489510881.0,7216834584.0,272561609.0,681750900.0,28215901.0,0.0,0.0,35009280.0,67830480.0,0.0,1352355.0,0.0,3039000.0,pareto-activeLogic_4-Layer_6x_6z_200p_120s.csv,15195,6,6,True,144,200,120,4-Layer
996528183.0,116830290224.0,318063170920448.0,1236210184192.0,661859192664064.0,11295709275.0,0.0,1807123241.0,0.0,1703513789.0,1295407.0,108169875.0,1440379671.0,1380922117.0,59416240.0,151460938.0,32837920.0,0.0,0.0,74092032.0,143553312.0,0.0,2862062.0,0.0,1286320.0,pareto-activeLogic_4-Layer_6x_6z_40p_120s.csv,32158,6,6,True,144,40,120,4-Layer
755266755.0,117116727952.0,534137574678528.0,1092182667264.0,1062193624952832.0,18799749363.0,0.0,4487112861.0,0.0,3343538856.0,2244850.0,374115938.0,2683506007.0,2575191622.0,108258858.0,280493825.0,35773834.0,0.0,0.0,58821120.0,113965920.0,0.0,2272170.0,0.0,2042400.0,pareto-activeLogic_4-Layer_6x_6z_80p_120s.csv,25530,6,6,True,144,80,120,4-Layer
387604105.0,115693283117.0,548853330993152.0,583006367744.0,1066219454332928.0,57873047124.0,820559.0,6417942560.0,0.0,35225651120.0,11519731.0,4869903497.0,27445818434.0,26277406610.0,1168142415.0,2882122799.0,24768432.0,0.0,0.0,56731200.0,109916700.0,0.0,1536360.0,0.0,1418280.0,pareto-activeLogic_5-Layer_10x_6z_120p_120s.csv,11819,10,6,True,300,120,120,5-Layer
1133235008.0,116693724068.0,434774448406528.0,1691882233856.0,833994242711552.0,15433347847.0,0.0,1988759324.0,0.0,5842964549.0,3289890.0,397796012.0,4937656519.0,4713841449.0,223745082.0,500460301.0,27524037.0,0.0,0.0,140020800.0,271290300.0,0.0,3646375.0,0.0,1166840.0,pareto-activeLogic_5-Layer_10x_6z_40p_120s.csv,29171,10,6,True,300,40,120,5-Layer
