timestamp,cpu_percent,rss
1722771576.4864678,0.0,2700017664
1722771577.486951,0.0,2702155776
1722771578.4872906,0.6,2706878464
1722771579.4876869,2.4,2780217344
1722771580.488242,2.1,2814259200
1722771581.488619,2.6,2867990528
1722771582.4892626,4.7,2927022080
1722771583.489802,4.2,2948145152
1722771584.4901674,4.7,2980831232
1722771585.4906936,6.7,3076009984
1722771586.4911692,6.3,3117510656
1722771587.4915257,7.2,3311394816
1722771588.491934,34.9,3624960000
1722771589.492454,36.4,3926446080
1722771590.4929883,40.6,4084527104
1722771591.4935343,41.7,4383526912
1722771592.4941325,51.6,4545695744
1722771593.4947808,49.8,4957396992
1722771594.495383,55.6,5229039616
1722771595.496053,62.8,5445877760
1722771596.4967551,62.5,5817729024
1722771597.4973621,67.8,6112718848
1722771598.4978936,68.6,6345748480
1722771599.498454,68.4,6665789440
1722771600.4989722,70.2,6915207168
1722771601.4995067,70.7,7199723520
1722771602.4999342,69.6,7450066944
1722771603.5002947,73.7,7889924096
1722771604.500833,74.0,8058363904
1722771605.5014029,73.3,8385028096
1722771606.5018203,73.9,8702074880
1722771607.5022173,76.2,8874176512
1722771608.5027757,75.2,9266102272
1722771609.5032275,76.1,9625182208
1722771610.5037785,78.1,9818968064
1722771611.5042074,77.9,10122252288
1722771612.5046568,78.3,10342105088
1722771613.5050652,79.3,10584956928
1722771614.505496,78.7,10978439168
1722771615.505917,80.1,11273609216
1722771616.5062861,81.2,11531005952
1722771617.5067067,80.1,11880062976
1722771618.5071325,81.0,12256124928
1722771619.507578,83.4,12334448640
1722771620.5081894,82.0,12625793024
1722771621.5086248,80.3,12926976000
1722771622.5090492,82.9,13144498176
1722771623.509484,84.4,13433798656
1722771624.5098999,84.2,13756907520
1722771625.5103002,85.3,13911998464
1722771626.5107756,83.4,14224343040
1722771627.5112112,84.7,14534619136
1722771628.5116293,85.7,14686420992
1722771629.5120537,83.5,14975995904
1722771630.5124826,84.2,15161188352
1722771631.5130553,85.5,15337508864
1722771632.5134614,85.2,15797219328
1722771633.5138946,86.4,16101744640
1722771634.514339,86.0,16349937664
1722771635.5147438,86.0,16517373952
1722771636.5151823,84.6,16670965760
1722771637.5156136,85.2,16808452096
1722771638.5160806,84.6,16978599936
1722771639.516532,84.8,17080692736
1722771640.516958,85.0,17108873216
1722771641.5174143,84.7,17104670720
1722771642.5178413,84.0,17113759744
1722771643.518228,84.9,17129594880
1722771644.5186772,83.9,17116610560
1722771645.5191073,83.6,17109336064
1722771646.5195587,83.7,17110798336
1722771647.5199826,83.1,17120661504
1722771648.520465,82.7,17121361920
1722771649.520951,81.6,17128210432
1722771650.5214598,80.5,17132990464
1722771651.5218904,81.8,17150730240
1722771652.522288,80.9,17134096384
1722771653.522738,80.5,17149816832
1722771654.52319,79.6,17145892864
1722771655.5237317,81.0,17145053184
1722771656.524142,79.4,17144528896
1722771657.5245974,79.8,17144967168
1722771658.5250342,80.0,17141817344
1722771659.52563,77.8,17144983552
1722771660.5260947,78.2,17145724928
1722771661.5265427,78.4,17159200768
1722771662.526982,78.1,17151614976
1722771663.5274382,78.7,17148751872
1722771664.5278707,77.8,17159602176
1722771665.528289,78.2,17157378048
1722771666.5286882,77.9,17161494528
1722771667.529141,77.0,17155866624
1722771668.5295749,76.9,17162801152
1722771669.5300074,77.0,17163407360
1722771670.5304792,77.2,17155760128
1722771671.5309248,77.0,17149313024
1722771672.5313585,77.0,17154760704
1722771673.5317678,77.1,17171234816
1722771674.5321972,76.8,17165262848
1722771675.532692,77.3,17170788352
1722771676.5331175,77.5,17171050496
1722771677.5335474,77.3,17171697664
1722771678.534018,76.5,17169412096
1722771679.5344365,76.4,17170853888
1722771680.534984,76.7,17179131904
1722771681.535435,76.5,17174634496
1722771682.5358775,77.0,17180528640
1722771683.5362887,76.3,17193361408
1722771684.5367405,76.4,17193820160
1722771685.5371802,76.6,17194213376
1722771686.537616,75.7,17202769920
1722771687.5380774,76.6,17202556928
1722771688.5385377,76.7,17202769920
1722771689.5389802,77.1,17206771712
1722771690.539451,76.9,17207046144
1722771691.5399342,75.7,17208008704
1722771692.540385,76.3,17208180736
1722771693.5408745,76.0,17216192512
1722771694.541359,76.5,17219964928
1722771695.5418415,76.3,17225527296
1722771696.5422835,76.8,17221021696
1722771697.5427392,76.5,17226600448
1722771698.5431912,76.0,17232244736
1722771699.543635,76.8,17229885440
1722771700.5440786,75.8,17243975680
1722771701.544536,75.4,17245843456
1722771702.5449367,75.7,17250840576
1722771703.5453823,76.1,17255485440
1722771704.5458155,76.9,17255444480
1722771705.5462658,76.7,17256718336
1722771706.5467606,76.0,17256218624
1722771707.5472872,76.4,17280798720
1722771708.5477607,75.8,17283264512
1722771709.5481994,77.0,17285390336
1722771710.548658,76.4,17277571072
1722771711.5491362,75.8,17282195456
1722771712.5495846,75.5,17294663680
1722771713.5500677,75.9,17296318464
1722771714.5505424,76.1,17296474112
1722771715.5509863,75.8,17301958656
1722771716.5514464,75.7,17309368320
1722771717.551962,76.2,17310576640
1722771718.552387,75.8,17304338432
1722771719.5529518,75.9,17308680192
1722771720.5534177,75.7,17309118464
1722771721.553869,75.6,17305788416
1722771722.5542843,75.9,17312059392
1722771723.554725,75.8,17309147136
1722771724.5551393,75.5,17312362496
1722771725.555593,74.8,17318039552
1722771726.5560315,75.2,17323208704
1722771727.5564373,74.9,17322401792
1722771728.5568933,75.2,17341468672
1722771729.557406,76.1,17336041472
1722771730.5578668,74.6,17336729600
1722771731.5582867,76.2,17336565760
1722771732.5587475,75.6,17336926208
1722771733.5591953,75.2,17339817984
1722771734.5596824,75.0,17339285504
1722771735.5601416,75.3,17345417216
1722771736.5605805,75.2,17339424768
1722771737.561021,75.5,17340084224
1722771738.5614977,75.0,17348526080
1722771739.562038,75.1,17355927552
1722771740.5625198,74.7,17349603328
1722771741.562979,75.4,17348882432
1722771742.5634437,75.2,17349795840
1722771743.563876,74.6,17350791168
1722771744.5643027,75.9,17347964928
1722771745.564749,74.8,17344569344
1722771746.5653079,73.8,17350332416
1722771747.5657675,74.8,17351065600
1722771748.566276,75.6,17344770048
1722771749.5667233,75.6,17341915136
1722771750.5672026,74.7,17348317184
1722771751.5676732,54.9,9680470016
1722771752.568185,54.8,9700696064
1722771753.5689206,54.9,9696505856
1722771754.569541,55.1,9709285376
