timestamp,cpu_percent,rss
1722709263.065133,0.0,2710818816
1722709264.0656252,0.0,2715922432
1722709265.0660071,0.4,2722594816
1722709266.0663962,2.5,2793967616
1722709267.0669582,2.1,2827579392
1722709268.0673244,2.4,2885120000
1722709269.067762,4.6,2923741184
1722709270.068169,4.2,2942644224
1722709271.068542,4.6,2982338560
1722709272.068935,8.1,3090759680
1722709273.0693412,6.3,3137388544
1722709274.0699544,6.9,3270819840
1722709275.0705135,22.7,3530416128
1722709276.0710945,33.1,3722653696
1722709277.071564,35.8,4037775360
1722709278.0722513,41.9,4320858112
1722709279.0729713,50.9,4613529600
1722709280.0736775,52.2,4918677504
1722709281.074315,58.6,5143638016
1722709282.0750396,63.2,5368524800
1722709283.0756884,62.1,5686611968
1722709284.0763786,65.3,5925425152
1722709285.077113,67.9,6120652800
1722709286.0777798,67.1,6421311488
1722709287.078348,69.0,6636072960
1722709288.0789454,69.9,6846783488
1722709289.0795205,68.4,7148425216
1722709290.0801482,71.2,7364431872
1722709291.080683,71.0,7593967616
1722709292.0811927,70.1,7731494912
1722709293.081732,69.9,7736721408
1722709294.0822792,68.7,7736987648
1722709295.082826,67.5,7746453504
1722709296.0833602,66.7,7735881728
1722709297.0839057,66.5,7741784064
1722709298.0845177,65.2,7749148672
1722709299.0851083,63.2,7734263808
1722709300.085652,63.9,7743746048
1722709301.0862436,63.9,7750836224
1722709302.0868146,63.7,7744397312
1722709303.0873988,62.2,7741702144
1722709304.0878417,62.7,7746019328
1722709305.0884273,61.0,7736680448
1722709306.089049,61.1,7743418368
1722709307.0895545,60.7,7747309568
1722709308.0900307,60.1,7748149248
1722709309.0907328,59.8,7740436480
1722709310.0913846,57.5,7738953728
1722709311.0920029,57.4,7735488512
1722709312.0925527,55.0,7749828608
1722709313.0930886,57.2,7742726144
1722709314.0936189,56.7,7753277440
1722709315.094249,56.5,7752527872
1722709316.0948005,57.0,7750705152
1722709317.0954118,58.2,7749206016
1722709318.0959995,58.1,7741571072
1722709319.0966377,58.5,7752511488
1722709320.097241,54.2,7752740864
1722709321.0979774,56.8,7755460608
1722709322.098478,56.3,7744118784
1722709323.0989578,55.3,7758704640
1722709324.0994134,56.9,7752265728
1722709325.1000383,55.0,7749664768
1722709326.1006267,57.7,7750860800
1722709327.1010885,56.2,7755665408
1722709328.101526,55.2,7765184512
1722709329.1020355,54.7,7760424960
1722709330.1025145,56.3,7766085632
1722709331.1030784,54.9,7771455488
1722709332.1036775,54.4,7773921280
1722709333.1043491,55.3,7760138240
1722709334.1050436,53.6,7772954624
1722709335.1056147,54.9,7773294592
1722709336.1060915,55.4,7775739904
1722709337.1065497,54.8,7775473664
1722709338.1069925,55.4,7775653888
1722709339.107608,54.8,7777431552
1722709340.1081328,54.9,7777521664
1722709341.1087599,55.1,7777632256
1722709342.109302,55.1,7775277056
1722709343.109992,55.2,7777234944
1722709344.1106596,56.9,7776628736
1722709345.1112256,54.1,7776280576
1722709346.111716,54.9,7784177664
1722709347.1124198,54.9,7779323904
1722709348.1129332,55.3,7783890944
1722709349.1135297,55.5,7787651072
1722709350.1139867,54.9,7787663360
1722709351.1144333,54.9,7788081152
1722709352.114945,54.8,7788011520
1722709353.1155453,53.1,7788158976
1722709354.115985,53.5,7788470272
1722709355.1164496,54.5,7797125120
1722709356.11692,54.7,7801749504
1722709357.1175377,55.8,7801335808
1722709358.1180058,53.1,7802273792
1722709359.1185124,54.7,7801966592
1722709360.1190019,54.2,7801696256
1722709361.1195629,56.6,7808630784
1722709362.1203182,53.5,7809548288
1722709363.1209342,55.0,7809839104
1722709364.1216705,54.4,7809449984
1722709365.1224604,54.6,7814221824
1722709366.1231782,53.9,7819993088
1722709367.1237712,52.7,7821389824
1722709368.124393,54.7,7822225408
1722709369.124988,55.7,7831187456
1722709370.1255527,54.1,7835205632
1722709371.1261768,54.5,7833415680
1722709372.126913,54.5,7835164672
1722709373.1276035,52.7,7835488256
1722709374.1281855,55.2,7834882048
1722709375.128847,55.8,7838957568
1722709376.1294346,53.5,7839330304
1722709377.129993,54.4,7840862208
1722709378.1305473,55.2,7841398784
1722709379.1311135,53.0,7842467840
1722709380.1315491,53.0,7841325056
1722709381.132088,53.5,7846236160
1722709382.1325488,53.9,7841271808
1722709383.1330473,54.0,7841456128
1722709384.1335506,53.5,7841361920
1722709385.1341796,54.9,7846699008
1722709386.1346233,53.5,7852208128
1722709387.1350691,53.8,7848882176
1722709388.1356313,53.7,7848800256
1722709389.1361935,52.8,7848767488
1722709390.136687,52.8,7849140224
1722709391.1372004,53.1,7848890368
1722709392.137715,53.4,7849025536
1722709393.1383376,53.6,7848984576
1722709394.1389449,53.7,7848857600
1722709395.1394892,53.2,7849070592
1722709396.1400745,53.2,7849836544
1722709397.1406624,52.8,7856881664
1722709398.1411462,52.6,7851610112
1722709399.1417034,54.1,7851761664
1722709400.142201,51.9,7851773952
1722709401.1426713,53.5,7851573248
1722709402.1431417,53.9,7852347392
1722709403.1436121,52.9,7851536384
1722709404.1441402,52.8,7851663360
1722709405.1446476,53.0,7851003904
