timestamp,cpu_percent,rss
1722709480.3413274,0.0,2615566336
1722709481.3418016,0.0,2618658816
1722709482.3421583,0.5,2626764800
1722709483.3425841,2.4,2694737920
1722709484.3431134,2.1,2729394176
1722709485.3434653,2.5,2789597184
1722709486.3438237,4.6,2825367552
1722709487.3444076,4.2,2847404032
1722709488.3447397,4.8,2887454720
1722709489.345089,8.1,2991181824
1722709490.3456259,6.3,3034685440
1722709491.3459976,7.4,3248664576
1722709492.3465083,35.5,3561824256
1722709493.3470747,37.6,3751022592
1722709494.3475382,39.8,3993661440
1722709495.348235,50.5,4318339072
1722709496.3487701,48.7,4632702976
1722709497.3493822,49.3,4900323328
1722709498.349948,61.3,5194338304
1722709499.3504066,63.2,5426003968
1722709500.3510015,60.5,5732253696
1722709501.3516052,66.8,6004371456
1722709502.3522115,69.3,6297419776
1722709503.3527074,67.1,6563938304
1722709504.353429,70.4,6810259456
1722709505.3540518,69.9,7025287168
1722709506.3545768,68.8,7287734272
1722709507.355163,73.3,7466123264
1722709508.3557212,72.1,7680466944
1722709509.3562393,71.3,8021319680
1722709510.35681,72.8,8203300864
1722709511.3573356,73.0,8419213312
1722709512.3579028,72.9,8548102144
1722709513.358471,71.6,8549044224
1722709514.3590136,71.6,8554319872
1722709515.3595438,69.0,8557277184
1722709516.3599358,68.1,8550748160
1722709517.3604536,68.9,8558067712
1722709518.3609586,67.7,8550936576
1722709519.361578,67.1,8551788544
1722709520.362038,66.7,8554958848
1722709521.3626354,66.4,8553529344
1722709522.3632379,65.8,8554049536
1722709523.3638127,65.9,8560259072
1722709524.3643644,64.7,8561266688
1722709525.364841,63.2,8555851776
1722709526.36546,62.6,8546725888
1722709527.3660564,62.0,8557101056
1722709528.366634,60.7,8555044864
1722709529.3671477,61.0,8551206912
1722709530.3676586,60.1,8555184128
1722709531.368165,59.1,8550629376
1722709532.3687575,60.3,8554975232
1722709533.36942,58.5,8560828416
1722709534.3699112,59.1,8560910336
1722709535.370431,59.4,8555499520
1722709536.3709285,58.7,8559984640
1722709537.3714178,58.1,8561844224
1722709538.3720171,58.8,8562159616
1722709539.3725157,59.1,8568573952
1722709540.373171,58.5,8572211200
1722709541.3739305,59.0,8571654144
1722709542.3744347,59.7,8571527168
1722709543.3750653,58.8,8574083072
1722709544.3755474,58.4,8575918080
1722709545.376053,59.4,8576028672
1722709546.376482,59.2,8579543040
1722709547.3769293,58.6,8579502080
1722709548.3775394,58.8,8579686400
1722709549.3780844,58.9,8579678208
1722709550.3786144,58.5,8579686400
1722709551.3790798,58.2,8579837952
1722709552.3796127,58.3,8580059136
1722709553.380096,57.7,8580358144
