Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;474341376;7143424;394739712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;47189659;479940608;9527296;397123584;0;0;0;0;0;0;0;0;0;0;0;370866;0;0;0;0;0;0;
3;3673209;479940608;9527296;397123584;0;0;0;0;0;0;0;0;0;0;0;2023;0;0;0;0;0;0;
4;2267272;479940608;9527296;397123584;0;0;0;0;0;0;0;0;0;0;0;2805;0;0;0;0;0;0;
5;2491463;489476096;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1312;0;0;0;0;0;0;
6;934312;490016768;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1973;0;0;0;0;0;0;
7;1290029;490016768;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1413;0;0;0;0;0;0;
8;1427547;490016768;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1473;0;0;0;0;0;0;
9;1455529;490016768;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1303;0;0;0;0;0;0;
10;1572078;490016768;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;4569;0;0;0;0;0;0;
11;1629205;490016768;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1543;0;0;0;0;0;0;
12;1012319;490016768;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1472;0;0;0;0;0;0;
13;1150859;490516480;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1463;0;0;0;0;0;0;
14;1285621;490516480;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1543;0;0;0;0;0;0;
15;1800657;491364352;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1553;0;0;0;0;0;0;
16;1508990;491364352;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1533;0;0;0;0;0;0;
17;1280000;491364352;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1273;0;0;0;0;0;0;
18;696326;491364352;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1543;0;0;0;0;0;0;
19;2714911;492163072;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1532;0;0;0;0;0;0;
20;2102082;492662784;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1974;0;0;0;0;0;0;
21;1519270;492662784;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;1333;0;0;0;0;0;0;
