Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
14521,5174904,4986384384,26730496,16187006976,2044224,0,426710,0,0,0,0,0,0,0,0,5340,0,0,0.0,89.0,0.0,40.0
14522,3822849,4995280896,26730496,16220561408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
14523,3136442,4999741440,26730496,16237338624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
14524,3683198,4999741440,26730496,16237338624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
14525,4097795,4999741440,26730496,16237338624,1639645,0,408527,0,0,0,0,0,0,0,0,5620,0,0,0.0,89.0,0.0,40.0
14526,3887851,5003935744,26730496,16254115840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
14527,3074476,5003935744,26730496,16254115840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
14528,3699858,5003935744,26730496,16254115840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
14529,4766619,5003935744,26730496,16254115840,1574934,0,427602,0,0,0,0,0,0,0,0,5861,0,0,0.0,89.0,0.0,40.0
14530,3896868,5008928768,26730496,16270893056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
14531,3245226,5013393408,26730496,16287670272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
14532,3797462,5013393408,26730496,16287670272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
14533,2965322,5013393408,26730496,16287670272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
14534,5357246,5013905408,26730496,16287670272,1558082,0,421721,0,0,0,0,0,0,0,0,5480,0,0,0.0,89.0,0.0,40.0
14535,4039996,5018886144,26730496,16304447488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
14536,3788285,5018886144,26730496,16304447488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,40.0
