Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
19085,6414570,13083779072,18522112,42745528320,2534183,0,790512,0,0,0,0,0,0,0,0,4849,0,0,0.0,89.0,0.0,90.0
19086,4128312,13093203968,18522112,42779082752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19087,3834822,13097398272,18522112,42795859968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19088,3007039,13097394176,18518016,42795855872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19089,6263055,13102624768,18518016,42812633088,2424186,0,803196,0,0,0,0,0,0,0,0,4959,0,0,0.0,89.0,0.0,90.0
19090,4606569,13107077120,39739392,42833854464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19091,1359059,13107077120,39739392,42833854464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19092,3774419,13107077120,39739392,42833854464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19093,5618126,13107077120,39739392,42833854464,2488527,0,801533,0,0,0,0,0,0,0,0,5029,0,0,0.0,89.0,0.0,90.0
19094,4512582,13111541760,39739392,42850631680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19095,2874460,13111808000,39739392,42850631680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19096,1267928,13111808000,39739392,42850631680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19097,3789737,13111808000,39739392,42850631680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19098,5498392,13111808000,39739392,42850631680,2469361,0,796374,0,0,0,0,0,0,0,0,5450,0,0,0.0,89.0,0.0,90.0
19099,4429597,13120716800,39739392,42884186112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19100,3138336,13124911104,39739392,42900963328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19101,1316819,13124911104,39739392,42900963328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19102,6375937,13129613312,39739392,42917740544,2499738,0,805490,0,0,0,0,0,0,0,0,4909,0,0,0.0,89.0,0.0,90.0
19103,4680879,13134065664,39739392,42934517760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19104,3798835,13134323712,39739392,42934517760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19105,2918874,13134323712,39739392,42934517760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19106,6374845,13139046400,39739392,42951294976,2505940,0,803617,0,0,0,0,0,0,0,0,5120,0,0,0.0,89.0,0.0,90.0
19107,3950659,13143240704,39739392,42968072192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19108,3821918,13143240704,39739392,42968072192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
