Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;478347264;8212480;395808768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;37965559;483258368;8212480;395808768;0;0;0;0;0;0;0;0;0;0;0;106830;0;0;0;0;0;0;
3;3799906;483258368;8212480;395808768;0;0;0;0;0;0;0;0;0;0;0;1433;0;0;0;0;0;0;
4;1377834;483258368;8212480;395808768;0;0;0;0;0;0;0;0;0;0;0;2264;0;0;0;0;0;0;
5;3094083;492589056;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1112;0;0;0;0;0;0;
6;1319625;493129728;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1573;0;0;0;0;0;0;
7;635702;493129728;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;0;0;
8;511008;493129728;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1082;0;0;0;0;0;0;
9;537618;493129728;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1042;0;0;0;0;0;0;
10;622587;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1092;0;0;0;0;0;0;
11;505007;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1183;0;0;0;0;0;0;
12;483958;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;
13;486222;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1082;0;0;0;0;0;0;
14;541185;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1082;0;0;0;0;0;0;
15;523502;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1032;0;0;0;0;0;0;
16;483497;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1213;0;0;0;0;0;0;
17;533170;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1082;0;0;0;0;0;0;
18;998823;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;
19;972113;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;
20;524163;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1032;0;0;0;0;0;0;
21;474189;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1302;0;0;0;0;0;0;
22;750778;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1092;0;0;0;0;0;0;
23;502262;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;
24;560582;493383680;8212480;429363200;0;0;0;0;0;0;0;0;0;0;0;1183;0;0;0;0;0;0;
