Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
44;226144;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;211085;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;210064;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;210264;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;216115;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;221054;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;214212;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;215534;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;208812;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;226034;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;213341;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;210435;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;226745;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;227056;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;226135;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;214712;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
