Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
14648,3207325,5180821504,27525120,16573677568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14649,3772454,5185015808,27525120,16590454784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14650,2060455,5185015808,27525120,16590454784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14651,3624627,5185015808,27525120,16590454784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14652,4357412,5185015808,27525120,16590454784,1622342,0,366277,0,0,0,0,0,0,0,0,5260,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14653,3824383,5194424320,27525120,16624009216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14654,2166423,5198868480,27525120,16640786432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14655,3685722,5198868480,27525120,16640786432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14656,4123393,5198868480,27525120,16640786432,1440241,0,348273,0,0,0,0,0,0,0,0,4628,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14657,3855370,5212200960,27525120,16691118080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14658,2227678,5216632832,27525120,16707895296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14659,3630088,5216632832,27525120,16707895296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14660,2688582,5216632832,27525120,16707895296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14661,5013522,5225529344,27525120,16741449728,1381992,0,344587,0,0,0,0,0,0,0,0,4028,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14662,2980940,5229969408,27525120,16758226944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14663,3760562,5229969408,27525120,16758226944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14664,2201319,5229969408,27525120,16758226944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14665,3626902,5229969408,27525120,16758226944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14666,4205087,5229969408,27525120,16758226944,1537182,0,354605,0,0,0,0,0,0,0,0,5420,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14667,3712783,5239103488,27525120,16791781376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14668,2446848,5239103488,27525120,16791781376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14669,1413832,5243297792,27525120,16808558592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14670,3630969,5243297792,27525120,16808558592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14671,3485457,5243297792,27525120,16808558592,1573822,0,340900,0,0,0,0,0,0,0,0,5280,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14672,3684930,5243555840,27525120,16808558592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14673,2333166,5252214784,27525120,16842113024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14674,1312401,5252481024,27525120,16842113024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14675,3676976,5252481024,27525120,16842113024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14676,1915132,5252481024,27525120,16842113024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14677,5169274,5256937472,27525120,16858890240,1514010,0,340389,0,0,0,0,0,0,0,0,4799,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14678,2748104,5256937472,27525120,16858890240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14679,3730556,5256937472,27525120,16858890240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14680,1764089,5256937472,27525120,16858890240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14681,3567501,5256937472,27525120,16858890240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14682,4022875,5256937472,27525120,16858890240,1406938,0,332483,0,0,0,0,0,0,0,0,3917,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14683,3717371,5265752064,27525120,16892444672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14684,2224842,5269946368,27525120,16909221888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14685,1561859,5269946368,27525120,16909221888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14686,3738371,5269946368,27525120,16909221888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14687,2562265,5269946368,27525120,16909221888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14688,5086038,5274914816,27525120,16925999104,1462643,0,340328,0,0,0,0,0,0,0,0,4639,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14689,2327766,5279371264,27525120,16942776320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14690,1219907,5279371264,27525120,16942776320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14691,3643814,5279371264,27525120,16942776320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14692,2649008,5279371264,27525120,16942776320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14693,5309597,5285916672,27525120,16959553536,1555938,0,335319,0,0,0,0,0,0,0,0,5270,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14694,5310860,5293121536,27525120,16959553536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14695,1287564,5293121536,27525120,16959553536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14696,3632663,5293121536,27525120,16959553536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14697,2807284,5293121536,27525120,16959553536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14698,5224217,5301776384,27525120,16993107968,1597857,0,348183,0,0,0,0,0,0,0,0,4990,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14699,2361960,5301776384,27525120,16993107968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14700,1602796,5302013952,27525120,16993107968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14701,3817008,5302013952,27525120,16993107968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14702,2506270,5302013952,27525120,16993107968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14703,5190655,5306208256,27525120,17009885184,1495234,0,336641,0,0,0,0,0,0,0,0,4939,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14704,3524170,5310935040,27525120,17026662400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14705,3603949,5310935040,27525120,17026662400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14706,2563999,5310935040,27525120,17026662400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14707,3515082,5310935040,27525120,17026662400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14708,3844600,5310935040,27525120,17026662400,1390638,0,328486,0,0,0,0,0,0,0,0,4218,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14709,3695220,5319835648,27525120,17060216832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14710,1999460,5319835648,27525120,17060216832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14711,1145648,5324029952,27525120,17076994048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14712,3621903,5324029952,27525120,17076994048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14713,3330627,5324029952,27525120,17076994048,1505183,0,332604,0,0,0,0,0,0,0,0,5009,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14714,3788565,5328736256,27525120,17110548480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14715,2130666,5333450752,27525120,17110548480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14716,1268278,5335547904,27525120,17127325696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
