filename,Main Thread,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,PropInputBlocks,PropActiveLogicBlocks,FPS,players,Chunks,Main Thread_other,ServerFixedUpdate_other,TerrainLogicSystem_other,CPU
players-activeLogic_Empty_0x_0z_10p_120s.csv,3416978.357420216,202723.81713384297,0.0,19652.402530032763,0.0,757.0373437689601,35.9410569105691,4.354295595194758,655.0681956073292,6.40959834971484,920.1840492658658,652.3494418153136,2.333485013954617,292.65622880766205,10,0,3214254.540286373,181394.19321077538,55.26419730615214,794.45
players-activeLogic_Empty_0x_0z_20p_120s.csv,3384883.518179425,218644.89934770527,0.0,30430.328604440285,0.0,1089.099540761108,30.618129698423378,3.8525462895252582,989.0915260186621,16.520636499254103,965.9175417556381,986.0199198525755,2.7995729370813467,295.4311410213178,20,0,3166238.6188317197,186159.55366074824,49.01670225524322,361.2754237288136
players-activeLogic_Empty_0x_0z_30p_120s.csv,3479558.3990822956,264889.24259579286,0.0,44576.745694535486,0.0,838.9199392169716,35.54272689351052,4.0247005541982,737.1267802872296,8.776384005720756,980.783832906263,734.5160002383648,2.3211370001787737,287.3927910690453,30,0,3214669.156486503,218492.79312913414,53.44934747631248,373.31416666666667
players-activeLogic_Empty_0x_0z_40p_120s.csv,3586412.7905440694,304172.19633805414,0.0,54542.050228871616,0.0,753.5225031489048,36.5056065865872,4.227059076526067,650.4948542287487,7.088875917790544,982.0436852938466,648.0157291634665,2.1954471444809682,278.83014544131635,40,0,3282240.594206015,247894.57992073978,55.206107339252185,395.4808333333333
players-activeLogic_Empty_0x_0z_50p_120s.csv,3706252.5623810734,352094.25352023344,0.0,73388.74879487505,0.0,1080.0420525180768,40.59913738424458,4.355955854370164,966.0887035392617,6.376411264746924,1050.2543765064063,962.8884625142712,2.8363250031713814,269.81431598864174,50,0,3354158.30886084,276575.2082963339,62.621844475453486,462.66083333333336
players-activeLogic_Empty_0x_0z_60p_120s.csv,3694945.369148701,388249.6603642562,0.0,86763.43063665919,0.0,2010.868785707522,39.444967014930086,4.413212966762413,1500.2201003756195,6.246646254853067,1048.5115684479656,1496.8152520438118,3.0246204349610175,270.63999601985876,60,0,3306695.7087844447,298426.8493734415,460.543859095357,508.50083333333333
players-activeLogic_Empty_0x_0z_70p_120s.csv,3970837.4953546724,464563.82368099823,0.0,115635.01074867761,0.0,1263.311406483114,46.07364709073647,5.191882544418825,1136.5118337176184,6.8309711108097115,1081.9282517292825,1132.882103621321,3.1630611691306116,251.83604243937478,70,0,3506273.671673674,346583.57327410823,68.70307201953074,539.9183333333333
players-activeLogic_Empty_0x_0z_80p_120s.csv,4193460.453216793,561515.6045995129,0.0,150669.05104599512,0.0,2262.5365740077373,52.45210631895687,6.134188279123084,1747.9549004155324,270.70181974494915,1251.330778048431,1743.6695085255767,3.641925777331996,238.4665388302166,80,0,3631944.84861728,407332.6862014616,185.29355924917581,594.6324999999999
players-activeLogic_Empty_0x_0z_90p_120s.csv,4497877.492469648,658275.6677424313,0.0,192768.29103273398,0.0,1358.2051636698939,59.47372060857538,6.932841555248194,1193.140425695405,11.329760258183494,1359.2798908867373,1188.5652374366068,4.011718149684954,222.32708687024075,90,0,3839601.8247272167,462789.8916551407,87.32841555248183,666.8
players-activeLogic_Empty_0x_0z_100p_120s.csv,4744591.161827739,771844.2335624747,0.0,236751.8892438334,0.0,4403.925677315002,75.67860897695107,8.332511120097049,3208.63797007683,13.670966437525273,1474.9486049332795,3203.073958754549,4.910675293166195,210.76631597795546,100,0,3972746.9282652647,529213.470036393,1097.6056207035986,732.3241666666667
