Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;472428544;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;37140330;476712960;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;107271;0;0;0;0;0;0;
3;4054622;477511680;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;1322;0;0;0;0;0;0;
4;1848957;477511680;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;1122;0;0;0;0;0;0;
5;2846267;486563840;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1112;0;0;0;0;0;0;
6;848661;486834176;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1302;0;0;0;0;0;0;
7;710682;487104512;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1112;0;0;0;0;0;0;
8;597670;487104512;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1312;0;0;0;0;0;0;
9;600035;487104512;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1102;0;0;0;0;0;0;
10;522059;487104512;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1102;0;0;0;0;0;0;
11;535384;487104512;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1032;0;0;0;0;0;0;
12;506219;487104512;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1102;0;0;0;0;0;0;
13;531176;487104512;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1052;0;0;0;0;0;0;
14;508393;487104512;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1272;0;0;0;0;0;0;
15;497463;487104512;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;
16;560591;487104512;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1062;0;0;0;0;0;0;
17;540453;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;0;0;
18;997210;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1542;0;0;0;0;0;0;
19;610515;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1092;0;0;0;0;0;0;
20;972413;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1102;0;0;0;0;0;0;
21;534142;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1283;0;0;0;0;0;0;
22;507752;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1062;0;0;0;0;0;0;
23;514845;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1052;0;0;0;0;0;0;
24;579637;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1262;0;0;0;0;0;0;
25;519654;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1042;0;0;0;0;0;0;
26;496531;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1263;0;0;0;0;0;0;
27;1345844;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1052;0;0;0;0;0;0;
28;481152;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1122;0;0;0;0;0;0;
29;517330;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;0;0;
30;502923;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1974;0;0;0;0;0;0;
31;525335;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1253;0;0;0;0;0;0;
32;574347;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;
33;526137;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1032;0;0;0;0;0;0;
34;510858;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1032;0;0;0;0;0;0;
35;577082;487407616;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;0;0;
36;501350;488890368;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1022;0;0;0;0;0;0;
37;516678;489267200;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1082;0;0;0;0;0;0;
38;523993;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;0;0;
39;508984;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1092;0;0;0;0;0;0;
40;509225;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1302;0;0;0;0;0;0;
41;491412;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1042;0;0;0;0;0;0;
42;550653;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1032;0;0;0;0;0;0;
43;469861;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;
44;547868;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1082;0;0;0;0;0;0;
45;482464;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;
46;517881;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1202;0;0;0;0;0;0;
47;546425;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1032;0;0;0;0;0;0;
48;525174;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1092;0;0;0;0;0;0;
49;511609;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1082;0;0;0;0;0;0;
50;549510;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1192;0;0;0;0;0;0;
51;523342;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1092;0;0;0;0;0;0;
52;500188;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1102;0;0;0;0;0;0;
53;540634;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;
54;520466;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1062;0;0;0;0;0;0;
55;553347;493461504;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;1102;0;0;0;0;0;0;
