Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;473616384;9527296;397123584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;35786843;478703616;9527296;397123584;25733981;0;0;0;0;0;0;0;0;0;0;130665;0;0;0;0;0;0;0;0;
3;3871982;479379456;9527296;397123584;1058345;0;0;0;0;0;0;0;0;0;0;2896;0;0;0;0;0;0;0;0;
4;1311539;479379456;9527296;397123584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;2995478;488411136;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;417273;488681472;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;499456;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;380865;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;363101;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;854883;488951808;9527296;430678016;461245;0;0;0;0;0;0;0;0;0;0;3096;0;0;0;0;0;0;0;0;
11;382006;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;346930;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;356388;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;351599;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;364624;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;383118;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;353403;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;348704;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;375193;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;350678;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;835718;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;499577;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;931397;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;388549;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;371918;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;360055;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;368722;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;356990;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;367599;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;349064;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;369664;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;431359;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;390112;488951808;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;378850;489512960;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;367950;489512960;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;391684;489512960;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;414617;489512960;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;369713;489512960;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;394320;489512960;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;376736;489512960;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;381175;490242048;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;401262;490242048;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;385292;490242048;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;399549;490242048;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;382558;490242048;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;374021;490242048;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;371657;490242048;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;370355;490242048;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;1179852;490242048;9527296;430678016;643377;0;0;0;0;0;0;0;0;0;0;3537;0;0;0;0;0;0;0;0;
50;388037;491040768;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;368270;491040768;9527296;430678016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
