timestamp,cpu_percent,rss
1722854947.5005682,0.0,2756435968
1722854948.501041,0.0,2758078464
1722854949.5014126,0.5,2767028224
1722854950.5018094,2.3,2834759680
1722854951.5023444,2.1,2868686848
1722854952.5029323,2.6,2922835968
1722854953.5035508,4.8,2968788992
1722854954.5041378,4.2,2990366720
1722854955.5045187,4.7,3031617536
1722854956.5050018,6.8,3124645888
1722854957.5054753,6.3,3164098560
1722854958.5058534,7.0,3352129536
1722854959.5062947,40.2,3582640128
1722854960.5069785,41.3,3876794368
1722854961.5074675,40.9,4217925632
1722854962.5079906,50.1,4690235392
1722854963.5086718,52.6,4917043200
1722854964.5093703,49.5,5281579008
1722854965.5099733,56.9,5625204736
1722854966.5105307,65.7,5810028544
1722854967.511104,62.2,6172045312
1722854968.5116682,66.2,6515150848
1722854969.512366,67.3,6992695296
1722854970.5130782,68.2,7415992320
1722854971.5135858,70.0,7844438016
1722854972.5141041,72.5,8125509632
1722854973.514497,70.1,8489660416
1722854974.5149853,73.3,8880660480
1722854975.515497,74.1,9085448192
1722854976.5159347,73.1,9462280192
1722854977.5163252,74.0,9834270720
1722854978.516894,76.1,10019344384
1722854979.5173304,73.9,10431082496
1722854980.5177372,75.8,10811138048
1722854981.5181432,77.7,11039571968
1722854982.518565,77.5,11395473408
1722854983.519116,79.3,11679576064
1722854984.5195112,79.2,11986993152
1722854985.519948,78.0,12437180416
1722854986.5203726,80.3,12710240256
1722854987.5208058,79.7,13198544896
1722854988.5212085,80.3,13520371712
1722854989.5216408,81.6,13751181312
1722854990.5220885,81.6,13921906688
1722854991.5225146,80.7,14408187904
1722854992.5229516,81.6,14592872448
1722854993.5234292,81.6,14809886720
1722854994.5238564,81.9,15033241600
1722854995.5242963,81.9,15182323712
1722854996.524715,81.5,15239442432
1722854997.5251405,78.8,15363153920
1722854998.5255666,79.9,15429128192
1722854999.5260103,79.0,15460540416
1722855000.526459,79.1,15546818560
1722855001.526925,76.8,15580491776
1722855002.5273905,77.8,15582990336
1722855003.527792,76.4,15586525184
1722855004.5282106,75.3,15591821312
1722855005.5286088,75.2,15589888000
1722855006.5289793,75.9,15579619328
1722855007.5294223,75.8,15591280640
1722855008.5298588,75.3,15608131584
1722855009.530262,75.1,15591948288
1722855010.5306451,75.0,15590191104
1722855011.5312572,75.2,15597314048
1722855012.5316944,74.1,15590838272
1722855013.532089,73.9,15604830208
1722855014.5324996,73.1,15609008128
1722855015.5329876,72.6,15610290176
1722855016.53342,71.8,15592214528
1722855017.5338724,72.1,15599370240
1722855018.5342824,71.3,15606337536
1722855019.534719,70.6,15607144448
1722855020.5351675,70.4,15605989376
1722855021.5356064,69.8,15611523072
1722855022.5361238,70.3,15611322368
1722855023.5366294,70.7,15623811072
1722855024.537058,69.8,15622389760
1722855025.5375063,69.8,15624622080
1722855026.5379138,70.5,15619698688
1722855027.5383415,70.2,15622696960
1722855028.5387225,70.1,15626530816
1722855029.5391529,69.6,15626416128
1722855030.5395947,70.4,15626387456
1722855031.5399895,69.2,15627481088
1722855032.5404623,69.6,15627874304
1722855033.5409226,70.6,15631044608
1722855034.5414042,69.0,15638700032
1722855035.5418358,69.8,15638536192
1722855036.5423374,70.5,15633551360
1722855037.5428321,69.6,15639998464
1722855038.5433135,70.2,15639773184
1722855039.5437405,69.5,15643705344
1722855040.5442276,69.3,15644008448
1722855041.544716,69.7,15644381184
1722855042.5451376,70.3,15663636480
1722855043.5455685,70.5,15661621248
1722855044.5459812,69.1,15667310592
1722855045.5464253,69.0,15670992896
1722855046.5468667,69.2,15670259712
1722855047.5472987,69.0,15670394880
1722855048.5477633,68.8,15674478592
1722855049.548177,69.1,15679315968
1722855050.5485928,68.9,15693606912
1722855051.5490756,69.8,15696265216
1722855052.5496294,69.2,15696838656
1722855053.5501008,68.8,15696642048
1722855054.5505574,68.6,15703449600
1722855055.5509803,68.4,15702016000
1722855056.551378,69.2,15698595840
1722855057.5518022,68.9,15703355392
1722855058.5522146,69.9,15705456640
1722855059.5527024,69.4,15716814848
1722855060.5531425,68.7,15717154816
1722855061.5535529,69.0,15727030272
1722855062.5539815,68.0,15725654016
1722855063.5544045,68.4,15726100480
1722855064.5548582,68.6,15725379584
1722855065.5553505,68.5,15728766976
1722855066.5557687,68.9,15731675136
1722855067.5563595,68.9,15726276608
1722855068.5568976,69.6,15726235648
1722855069.55735,68.6,15729745920
1722855070.557759,68.4,15729233920
1722855071.558216,68.3,15723581440
1722855072.5586839,68.1,15724150784
1722855073.559143,68.0,15723716608
1722855074.5595849,68.0,15726977024
1722855075.5599842,68.3,15729233920
1722855076.5604763,69.0,15735263232
1722855077.5609057,69.5,15740383232
1722855078.561353,68.3,15740395520
1722855079.5617785,68.0,15734644736
1722855080.562281,68.7,15736909824
1722855081.5627568,68.7,15742590976
1722855082.5632231,68.6,15737856000
1722855083.5636501,68.5,15758852096
1722855084.564109,66.4,15752380416
1722855085.5645485,67.5,15748345856
1722855086.5650916,68.5,15754129408
1722855087.5655174,66.8,15748239360
1722855088.5659785,67.5,15758229504
1722855089.5664265,68.2,15750619136
1722855090.5668612,67.4,15782445056
1722855091.567365,66.9,15784148992
1722855092.567876,67.6,15778545664
1722855093.56834,67.1,15783165952
1722855094.5688646,68.1,15788716032
1722855095.5694501,68.3,15787044864
1722855096.569975,67.8,15786565632
1722855097.570411,67.5,15791636480
1722855098.5710235,67.7,15801446400
1722855099.571483,68.0,15805902848
1722855100.571986,67.8,15806132224
1722855101.5724351,68.5,15806464000
1722855102.572913,68.4,15812476928
1722855103.573336,67.7,15806447616
1722855104.5737963,67.8,15812280320
1722855105.574279,67.4,15815041024
1722855106.5747972,67.0,15809212416
1722855107.5753343,67.7,15809302528
1722855108.5758324,69.0,15815843840
1722855109.5763297,67.8,15814844416
1722855110.5768065,49.6,8075313152
1722855111.5773141,44.6,8089989120
1722855112.5778437,45.0,8084819968
1722855113.5784721,45.1,8083267584
1722855114.5790548,44.7,8088838144
1722855115.5795658,44.6,8121094144
1722855116.5801299,44.3,8121294848
1722855117.58061,44.9,8121810944
1722855118.5811172,45.1,8121982976
1722855119.5816734,45.3,8122155008
1722855120.5821555,44.4,8122269696
1722855121.5826507,44.3,8122384384
1722855122.583138,45.0,8139587584
1722855123.583607,44.4,8139730944
1722855124.5840833,44.5,8139960320
1722855125.584513,43.8,8140365824
1722855126.5850291,44.0,8157024256
1722855127.5855248,44.7,8176295936
1722855128.586106,44.6,8176439296
1722855129.5866578,43.8,8176525312
1722855130.587162,44.7,8178679808
1722855131.5876515,44.4,8178794496
1722855132.5881467,44.7,8178995200
1722855133.5886517,44.1,8179138560
1722855134.589217,44.4,8179224576
1722855135.5897412,44.4,8172937216
1722855136.5902581,43.8,8173166592
1722855137.5908928,44.2,8191750144
1722855138.5914154,42.8,8038326272
1722855139.5921137,7.7,2695213056
1722855140.592677,0.1,2696585216
1722855141.5930586,1.9,2709987328
1722855142.593613,1.8,2708836352
