Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
44;193312;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;189946;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;190507;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;193393;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;200826;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;188654;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;190036;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;197771;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;208191;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;199334;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;269014;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;198573;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;198553;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;195066;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;194655;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;190457;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60;192150;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;200607;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;193202;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;209302;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;193272;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;193744;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;210444;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;204694;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;188713;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;192331;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;200566;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;209923;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;193172;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;198702;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;201829;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;192802;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;210144;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;190998;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;202730;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
79;210995;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;218740;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;188834;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
82;209042;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
83;200235;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
84;218530;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
85;211637;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
86;210064;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;205426;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
88;205796;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
89;218409;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90;1427948;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
91;749436;488853504;8187904;429338624;509025;0;0;0;0;0;0;0;0;0;0;1342;0;0;0;0;0;0;0;0;
92;211025;488853504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
93;184896;488853504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
94;187913;488853504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
95;199785;488853504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
96;192351;488853504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
97;197210;489570304;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
98;196188;489570304;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
99;194765;489570304;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;206788;489570304;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;195337;489570304;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102;193884;489570304;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;192601;489570304;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
104;193814;489570304;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
105;208871;489570304;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
106;199544;489570304;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
107;189145;489570304;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
108;188664;490020864;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;474681;492118016;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110;197280;492118016;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
111;185277;492118016;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
112;185458;492118016;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
113;199253;492118016;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
114;236904;492118016;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
115;194344;492118016;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;194014;492118016;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
117;188894;492118016;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
118;208321;492118016;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
119;201117;492118016;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
