Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
51;196007;495382528;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;193302;495382528;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;192992;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;202499;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;192301;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;193223;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;196880;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;202409;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;207789;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60;209944;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;205536;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;201207;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;213300;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;212499;495943680;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;196118;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;206928;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;209453;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;200686;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;190036;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;198723;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;204684;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
