Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
16469,2687069,4587024384,20959232,15241711616,1410986,394269,104746,131788,0,0,0,0,0,0,0,5961,0,0,0.0,267.0,0.0,10.0
16470,3293396,4587024384,20959232,15241711616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16471,874791,4587024384,20959232,15241711616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16472,3577700,4587024384,20959232,15241711616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16473,1232883,4587024384,20959232,15241711616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16474,3506476,4587024384,20959232,15241711616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16475,2381075,4587024384,20959232,15241711616,1160025,0,104646,105818,0,0,0,0,0,0,0,3427,0,0,0.0,267.0,0.0,10.0
16476,3561389,4599861248,20959232,15292043264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16477,1347207,4599861248,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16478,2987402,4599861248,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16479,835467,4599861248,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16480,3505143,4599861248,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16481,1261686,4599861248,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16482,4673485,4599861248,20963328,15292047360,1024812,0,102703,127779,0,0,0,0,0,0,0,3156,0,0,0.0,267.0,0.0,10.0
16483,1329243,4599865344,20959232,15292043264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16484,3590023,4599865344,20959232,15292043264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16485,1354560,4599865344,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16486,3449189,4599865344,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16487,1199419,4599865344,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16488,3545890,4599865344,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16489,2193865,4599865344,20963328,15292047360,925897,0,104516,63348,0,0,0,0,0,0,0,3296,0,0,0.0,267.0,0.0,10.0
16490,3662839,4599865344,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16491,1064737,4599865344,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16492,3643663,4599865344,20963328,15292047360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16493,1358207,4599865344,20959232,15292043264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16494,3528327,4599865344,20959232,15292043264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16495,2200036,4599865344,20959232,15292043264,949922,0,105207,65944,0,0,0,0,0,0,0,3236,0,0,0.0,267.0,0.0,10.0
16496,3490176,4599865344,20959232,15292043264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
16497,1020303,4599865344,20959232,15292043264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,10.0
