Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
17032,70160998,27767205888,27439104,98068926464,68148154,0,4704432,333284,0,0,0,0,0,0,0,15760,0,0,0.0,267.0,0.0,80.0
17033,28910027,27817689088,27439104,98253475840,21432243,0,4579208,352001,0,0,0,0,0,0,0,14497,0,0,0.0,267.0,0.0,80.0
17034,8885634,27841122304,27439104,98337361920,6472870,0,1122876,94938,0,0,0,0,0,0,0,3747,0,0,0.0,267.0,0.0,80.0
17035,17125878,27874664448,27439104,98471579648,12942592,0,1140168,105438,0,0,0,0,0,0,0,4659,0,0,0.0,267.0,0.0,80.0
17036,15277321,27925704704,27439104,98672906240,8790465,0,868158,58590,0,0,0,0,0,0,0,11612,0,0,0.0,267.0,0.0,80.0
17037,16509351,27992342528,27439104,98924564480,10536350,0,864080,63519,0,0,0,0,0,0,0,4048,0,0,0.0,267.0,0.0,80.0
17038,13410861,28020662272,27439104,99008450560,8723230,0,1258581,99237,0,0,0,0,0,0,0,4649,0,0,0.0,267.0,0.0,80.0
17039,15437801,28048588800,27439104,99109113856,10725825,0,1256927,96812,0,0,0,0,0,0,0,4368,0,0,0.0,267.0,0.0,80.0
17040,16244635,28089196544,27439104,99276886016,11186019,0,1245215,96741,0,0,0,0,0,0,0,4568,0,0,0.0,267.0,0.0,80.0
17041,16743170,28119306240,27439104,99377549312,11863128,0,1281784,109836,0,0,0,0,0,0,0,5400,0,0,0.0,267.0,0.0,80.0
17042,14248131,28146810880,27439104,99478212608,9350987,0,1252800,112461,0,0,0,0,0,0,0,4658,0,0,0.0,267.0,0.0,80.0
