filename,Main Thread,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,FPS,Chunks,Main Thread_other,ServerFixedUpdate_other,TerrainLogicSystem_other
base-activeLogic_Empty_0x_0z_1p_300s.csv,3685743.644834395,422079.3504961315,0.0,7387.0316431330175,0.0,130.30265886765272,31.485053959738213,0.19092681594078711,34.28167107534493,6.01218285458813,839.75525005278,271.31566825096735,0,3263664.2943382636,413722.2609440781,58.33282416204065
base-activeLogic_1-Layer_1x_1z_1p_300s.csv,3697191.75489144,432305.8114050412,0.0,7667.132555527826,0.0,664.0189668080859,31.894958822061394,0.2159221362615423,512.3407536810581,61.517319690541555,926.3482655353132,270.47555720554254,1,3264885.9434863986,423048.31161717,58.05001247816335
base-activeLogic_2-Layer_1x_1z_1p_300s.csv,3739364.8835517843,440930.9274439983,0.0,7582.796840669747,0.0,1247.0403187110135,32.15325655984039,0.21595070333611133,1041.7319746445437,112.3862540091421,873.3363512387302,267.42509253340467,2,3298433.956107786,431227.7539333788,60.552882794151174
base-activeLogic_3-Layer_1x_1z_1p_300s.csv,3592498.38250237,412913.0435009845,0.0,7527.551462187325,0.0,2136.8831100955344,31.638160293652916,0.18200160439507013,1901.1565257554028,148.61253859056325,838.6648637479641,278.35781495980683,3,3179585.3390013855,402409.94406495366,55.293883851520604
base-activeLogic_1-Layer_2x_2z_1p_300s.csv,3712567.297399397,439298.4420649713,0.0,7650.730783183018,0.0,2861.937768159814,30.781494314699223,0.18609509275358693,2581.8325807137585,190.80457325844665,937.7740890384399,269.3553866890134,4,3273268.855334426,427847.99942459003,58.33302478015594
base-activeLogic_1-Layer_1x_5z_1p_300s.csv,3574923.85792523,409576.3952308349,0.0,7720.3275355247915,0.0,3522.1099469415135,30.950137220223212,0.2066597548332012,3193.357736171251,237.95324754528266,924.855473562237,279.72623746464,5,3165347.4626943953,397409.10227480636,59.642166249923775
base-activeLogic_1-Layer_1x_6z_1p_300s.csv,3541919.319852676,398432.1567246816,0.0,7499.697467562168,0.0,3849.954731470114,28.65148889049373,0.19574637105510218,3506.892034375677,261.01163910353625,851.9174189355095,282.33280029698545,6,3143487.163127994,386230.5871067138,53.20382272935149
base-activeLogic_2-Layer_2x_2z_1p_300s.csv,3611220.8987727817,415537.6381169639,0.0,7152.927562397834,0.0,5517.322370507722,29.51571229902164,0.23513553077805158,4917.04470929807,422.69740405494423,872.8860492351233,276.9146579595379,8,3195683.2606558176,401994.50213482324,147.82940932490783
base-activeLogic_1-Layer_3x_3z_1p_300s.csv,3602619.9313300024,408346.4293303186,0.0,7045.7871582607,0.0,6216.994213680512,29.60400179910774,0.23159865310042183,5765.028834348371,368.47960808625993,826.7373910506547,277.57576959577403,9,3194273.5019996837,394256.9105673267,53.65017079367317
base-activeLogic_1-Layer_2x_5z_1p_300s.csv,3651110.8604558725,419675.31913545745,0.0,7898.431488727409,0.0,7815.401428482703,30.53950686292777,0.240829762126576,7258.419352835228,470.07010744674244,912.1099434817713,273.8892458267185,10,3231435.541320415,403049.3762747656,56.1316315756776
base-activeLogic_3-Layer_2x_2z_1p_300s.csv,3641354.489143829,425878.4300448541,0.0,7297.162053923502,0.0,9008.520800473187,30.936945485015773,0.22232354100946372,8402.406385548107,518.4715472200315,890.4603583399054,274.6230840697755,12,3215476.059098975,408682.28683211753,56.48359867902218
base-activeLogic_1-Layer_3x_5z_1p_300s.csv,3650692.806912311,421084.26747637324,0.0,7656.278156551544,0.0,11428.801063050309,30.228419209418426,0.18716391589980502,10710.611924543298,632.9311501061809,905.1341231697776,273.9206098378301,15,3229608.5394359375,401094.0541336016,54.84240527551265
base-activeLogic_1-Layer_4x_4z_1p_300s.csv,3661194.6464020163,439160.3025101053,0.0,7463.297769349768,0.0,13762.711649782923,30.66057437995908,0.24519686611108338,12834.852662308498,841.0651978641649,932.5430660212586,273.13489081568906,16,3222034.343891911,417001.75002495135,55.88801836418861
base-activeLogic_2-Layer_3x_3z_1p_300s.csv,3764712.0917934678,459838.6538613357,0.0,7695.169542242313,0.0,17694.280919335328,33.800089132234035,0.25462532628764245,16582.000229197172,1015.4966066085185,939.3311389826192,265.6245618834589,18,3304873.437932132,433509.8722607755,62.7293690711158
base-activeLogic_1-Layer_4x_5z_1p_300s.csv,3526133.360615186,398424.62983676296,0.0,7175.313388781339,0.0,15411.490834349084,27.899237589923757,0.1890370689037069,14327.717561721756,1004.1217944121795,827.8819817881982,283.5967610214082,20,3127708.730778423,375009.94363184436,51.56320355632124
base-activeLogic_1-Layer_4x_6z_1p_300s.csv,3893239.9119753675,490251.0324162174,0.0,8852.969248863516,0.0,28064.635519082356,37.61927793635691,0.27394544877894067,26572.698805370546,1383.4732265567184,1096.764734644254,256.8554783701003,24,3402988.87955915,452236.6629136272,70.57026376995418
base-activeLogic_1-Layer_5x_5z_1p_300s.csv,3575618.8115674364,415324.35500607535,0.0,7050.270024301337,0.0,24018.82945321993,30.976792223572296,0.16574726609963547,22776.09466585662,1152.6112150668287,822.8294289185906,279.6718701571077,25,3160294.456561361,383432.4260996355,58.98103280680516
base-activeLogic_3-Layer_3x_3z_1p_300s.csv,3689521.686737662,451074.9805615551,0.0,7467.2911147455025,0.0,30047.585050999387,33.03674203173573,0.22947852033109029,28585.043271451577,1363.8764279204484,898.2715764241751,271.0378430880608,27,3238446.7061761073,412661.83281938604,65.39913107529355
base-activeLogic_1-Layer_5x_6z_1p_300s.csv,3690354.8981802207,453371.1499121486,0.0,7798.980697791165,0.0,35001.26462098394,33.317557730923696,0.24274598393574298,33401.48998493976,1501.3573042168675,896.2331325301204,270.9766479351668,30,3236983.748268072,409674.67146084335,64.85702811244846
base-activeLogic_2-Layer_4x_4z_1p_300s.csv,3787071.8433551453,481982.4715091442,0.0,7798.823311521534,0.0,40591.99648946193,36.86685768123798,0.22284172893999818,38874.02579987352,1610.7011912597927,923.2040371187775,264.0562527892402,32,3305089.371846001,432668.44767104194,70.17979891844152
base-activeLogic_1-Layer_6x_6z_1p_300s.csv,3827010.761694593,508556.2627035894,0.0,8044.835188584671,0.0,55877.550951060424,43.069640276530095,0.261492793813225,53658.1250244112,2098.0277832024894,1009.7953104453906,261.3005455874919,36,3318454.4989910033,443624.0812534989,78.06701037639141
base-activeLogic_2-Layer_4x_5z_1p_300s.csv,3635884.5846151947,454192.73479667166,0.0,7698.763018197082,0.0,49876.32641169354,35.363324362361425,0.23299424705562827,47927.74311745389,1846.3586948470409,906.2371052566604,275.0362330617916,40,3181691.849818523,395711.4082615244,66.6282807831958
base-activeLogic_3-Layer_3x_5z_1p_300s.csv,3684733.249456915,477908.054570651,0.0,7615.782865989163,0.0,66282.86198157257,37.25732228020674,0.22207795450573048,63807.37510299883,2364.6779570026715,877.8264750680416,271.3900660644533,45,3206825.194886264,403131.5832480212,73.3295213363599
base-activeLogic_3-Layer_4x_4z_1p_300s.csv,3711130.2498834147,476960.78797847265,0.0,7170.874087798238,0.0,71758.24332942614,37.862656129869805,0.2739819261163837,69125.21926872613,2519.3365599122776,846.6347789919462,269.459688199145,48,3234169.461904942,397185.03578225634,75.55086273174675
base-activeLogic_2-Layer_5x_5z_1p_300s.csv,3888717.0855935,555945.3642248497,0.0,8076.6737697338,0.0,106949.76119955083,52.061813858246914,0.3809762864125768,103246.86384833873,3550.6892397120023,982.2765836581016,257.15421769937757,50,3332771.7213686504,439936.652671907,99.76532135544403
base-activeLogic_3-Layer_3x_6z_1p_300s.csv,3776235.31114559,532661.2756776857,0.0,7925.905957479547,0.0,112213.04902161927,47.98463826840715,0.3416125971328187,108582.34100992486,3487.734183058498,853.3765034749827,264.814005909137,54,3243574.0354679045,411668.9441951119,94.64757777037448
base-activeLogic_2-Layer_5x_6z_1p_300s.csv,3742705.964540904,541181.0209901545,0.0,7840.996790340453,0.0,135150.64785449544,47.282462776864975,0.38045928699705783,130925.10689949435,4075.6627946964195,917.1471348693847,267.1863644844631,60,3201524.9435507497,397272.22921044915,102.21523824080941
base-activeLogic_2-Layer_6x_6z_1p_300s.csv,4257329.993560244,891548.0052531041,0.0,8575.56730630083,0.0,425331.28654742264,110.53775578130879,0.833753002807444,413491.80517206446,11507.37106017192,1022.4103643888744,234.88900355683674,72,3365781.9883071403,456618.74103499175,220.7388064021361
base-activeLogic_3-Layer_5x_5z_1p_300s.csv,4343976.854736407,1043368.2152845385,0.0,8128.833244829926,0.0,591722.1405581615,129.9735964834646,0.9233560492078945,576576.0497831666,14744.20492963979,979.5445024633449,230.20380481762032,75,3300608.639451869,442537.6969790837,270.98889282241
base-activeLogic_3-Layer_5x_6z_1p_300s.csv,5068289.9085369,1950422.6403790363,0.0,8215.938183441196,0.0,1522294.4549808593,252.36211010591728,1.7493862977014059,1489504.2184951848,32021.165897035346,986.9980601857415,197.30520906383538,90,3117867.2681578635,418925.24915455,514.9590922356583
base-activeLogic_3-Layer_6x_6z_1p_300s.csv,11170453.241129093,8564139.540992325,0.0,8400.648203024086,0.0,8133415.505774637,943.0400045589241,6.4162677608084495,7983616.311260543,146545.81285616595,964.3237975837702,89.52188227403757,108,2606313.7001367677,421359.06321708113,2303.925385608338
