Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,chunkX,chunkZ,active_logic,Chunks,players,duration,terrain_type
4214762950.0,296292947237.0,52879639625728.0,3846088368128.0,72561571799040.0,34644987726.0,0.0,614444003.0,0.0,53214480.0,2556062.0,17304.0,41058988.0,4929998.0,74237550.0,1282240.0,2484340.0,0.0,6090640.0,0.0,80140.0,base-activeLogic_1-Layer_1x_1z_1p_300s.csv,80140,1,1,True,1,1,300,1-Layer
4448670070.0,293090132492.0,57759355531264.0,4551755567104.0,75014213750784.0,33579120763.0,0.0,632951053.0,0.0,288760184.0,2537447.0,16943.0,261807434.0,19508597.0,75824276.0,6558800.0,12707675.0,0.0,6230860.0,0.0,81985.0,base-activeLogic_1-Layer_1x_5z_1p_300s.csv,81985,1,5,True,5,1,300,1-Layer
4546205499.0,294269740932.0,56171558662144.0,4189755392000.0,75595036246016.0,33102540445.0,0.0,623089865.0,0.0,319861939.0,2380423.0,16263.0,291359604.0,21685369.0,70779003.0,7975872.0,15453252.0,0.0,6314232.0,0.0,83082.0,base-activeLogic_1-Layer_1x_6z_1p_300s.csv,83082,1,6,True,6,1,300,1-Layer
4169666994.0,296793767456.0,54102621282304.0,4175336407040.0,74093480722432.0,35118835354.0,0.0,611622371.0,0.0,228791891.0,2460765.0,14877.0,206399442.0,15253490.0,74968474.0,5116352.0,9912932.0,0.0,6075668.0,0.0,79943.0,base-activeLogic_1-Layer_2x_2z_1p_300s.csv,79943,2,2,True,4,1,300,1-Layer
4314987495.0,293932679821.0,58831352840192.0,4406082924544.0,74947196760064.0,33785961567.0,0.0,635863227.0,0.0,629178892.0,2458583.0,19388.0,584339050.0,37842994.0,73429411.0,12880800.0,24956550.0,0.0,6118380.0,0.0,80505.0,base-activeLogic_1-Layer_2x_5z_1p_300s.csv,80505,2,5,True,10,1,300,1-Layer
4389882732.0,296362323411.0,56806053556224.0,3962335420416.0,74520948121600.0,33591802316.0,0.0,579607589.0,0.0,511428595.0,2435314.0,19052.0,474248567.0,30312238.0,68009898.0,11845872.0,22951377.0,0.0,6251988.0,0.0,82263.0,base-activeLogic_1-Layer_3x_3z_1p_300s.csv,82263,3,3,True,9,1,300,1-Layer
4316918553.0,293964736891.0,55909033828352.0,3935663235072.0,73141597495296.0,33906968470.0,0.0,616506486.0,0.0,920281348.0,2434083.0,15071.0,862450604.0,50965515.0,72884115.0,19325520.0,37443195.0,0.0,6119748.0,0.0,80523.0,base-activeLogic_1-Layer_3x_5z_1p_300s.csv,80523,3,5,True,15,1,300,1-Layer
4264339278.0,293466718077.0,58917666672640.0,4034364231680.0,72924878327808.0,35201333208.0,0.0,598228096.0,0.0,1103163915.0,2457629.0,19654.0,1028790450.0,67416422.0,74748922.0,20519936.0,39757376.0,0.0,6091856.0,0.0,80156.0,base-activeLogic_1-Layer_4x_4z_1p_300s.csv,80156,4,4,True,16,1,300,1-Layer
4571840547.0,295073891883.0,59364958171136.0,4477365784576.0,76369211461632.0,33340969874.0,0.0,600444575.0,0.0,1289664376.0,2334664.0,15819.0,1198972061.0,84026920.0,69278820.0,26778240.0,51882840.0,0.0,6359832.0,0.0,83682.0,base-activeLogic_1-Layer_4x_5z_1p_300s.csv,83682,4,5,True,20,1,300,1-Layer
3835473156.0,294609250619.0,58611758776320.0,3913973239808.0,70220254416896.0,37098276125.0,0.0,669921889.0,0.0,2123707099.0,2846726.0,20730.0,2010809264.0,104690186.0,82994381.0,29058048.0,56299968.0,0.0,5751072.0,0.0,75672.0,base-activeLogic_1-Layer_4x_6z_1p_300s.csv,75672,4,6,True,24,1,300,1-Layer
