Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,chunkX,chunkZ,active_logic,Chunks,players,duration,terrain_type
4478066450.0,294273428192.0,60501136969728.0,4225207906304.0,74958394568704.0,34181194417.0,0.0,580237223.0,0.0,1976749664.0,2549390.0,13641.0,1874472591.0,94859903.0,67718862.0,32920000.0,63782500.0,0.0,6254800.0,0.0,82300.0,base-activeLogic_1-Layer_5x_5z_1p_300s.csv,82300,5,5,True,25,1,300,1-Layer
4230888480.0,294047478287.0,62386506760192.0,3765420683264.0,74920451108864.0,36124613225.0,0.0,621422782.0,0.0,2788900765.0,2654743.0,19342.0,2661430722.0,119628150.0,71411856.0,38246400.0,74102400.0,0.0,6055680.0,0.0,79680.0,base-activeLogic_1-Layer_5x_6z_1p_300s.csv,79680,5,6,True,30,1,300,1-Layer
3955433073.0,293948869595.0,58830815907840.0,4128204021760.0,70140694536192.0,39061697982.0,0.0,617915746.0,0.0,4291898811.0,3308136.0,20085.0,4121426925.0,161147416.0,77561368.0,44241984.0,85718844.0,0.0,5837484.0,0.0,76809.0,base-activeLogic_1-Layer_6x_6z_1p_300s.csv,76809,6,6,True,36,1,300,1-Layer
4080352059.0,296135262588.0,55300175208448.0,3727909756928.0,72997573959680.0,34919083868.0,0.0,600512013.0,0.0,98758111.0,2546345.0,17102.0,82498922.0,8900317.0,69162999.0,2534208.0,4910028.0,0.0,6018744.0,0.0,79194.0,base-activeLogic_2-Layer_1x_1z_1p_300s.csv,79194,1,1,True,2,1,300,2-Layer
4398028061.0,296026221956.0,55151857934336.0,4294756360192.0,74589652049920.0,34063282347.0,0.0,586354084.0,0.0,452276984.0,2419521.0,19275.0,403069823.0,34650197.0,71553961.0,10492672.0,20329552.0,0.0,6230024.0,0.0,81974.0,base-activeLogic_2-Layer_2x_2z_1p_300s.csv,81974,2,2,True,8,1,300,2-Layer
4013452640.0,295661664129.0,58929923620864.0,3705361346560.0,72369452806144.0,36113428681.0,0.0,604340140.0,0.0,1389620352.0,2654490.0,19997.0,1302267388.0,79752026.0,73770371.0,22618080.0,43822530.0,0.0,5968660.0,0.0,78535.0,base-activeLogic_2-Layer_3x_3z_1p_300s.csv,78535,3,3,True,18,1,300,2-Layer
3965864985.0,293426113495.0,56073632276480.0,4039382876160.0,73230684487680.0,37344483875.0,0.0,604260629.0,0.0,3145108480.0,2856481.0,17266.0,3011998393.0,124798739.0,71530772.0,39670272.0,76861152.0,0.0,5888556.0,0.0,77481.0,base-activeLogic_2-Layer_4x_4z_1p_300s.csv,77481,4,4,True,32,1,300,2-Layer
4355923051.0,294513923123.0,59132180570112.0,4153546113024.0,75124174913536.0,36790519904.0,0.0,623615202.0,0.0,4040082192.0,2864500.0,18873.0,3882243048.0,149558747.0,73407018.0,51841280.0,100442480.0,0.0,6156152.0,0.0,81002.0,base-activeLogic_2-Layer_4x_5z_1p_300s.csv,81002,4,5,True,40,1,300,2-Layer
3892993850.0,294356439794.0,57745543720960.0,3492979875840.0,69879425458176.0,42082284345.0,0.0,611363821.0,0.0,8095562174.0,3940819.0,28838.0,7815271359.0,268769422.0,74353426.0,60556000.0,117327250.0,0.0,5752820.0,0.0,75695.0,base-activeLogic_2-Layer_5x_5z_1p_300s.csv,75695,5,5,True,50,1,300,2-Layer
4091390943.0,293851073394.0,64527730561024.0,4209018556416.0,73002797797376.0,42489745501.0,0.0,615620181.0,0.0,10611082815.0,3712288.0,29871.0,10279322918.0,319992513.0,72007973.0,75372480.0,146034180.0,0.0,5966988.0,0.0,78513.0,base-activeLogic_2-Layer_5x_6z_1p_300s.csv,78513,5,6,True,60,1,300,2-Layer
3308223699.0,294190017215.0,52476569329664.0,3580689440768.0,62914495012864.0,61607750259.0,0.0,592588852.0,0.0,29391242563.0,7638380.0,57614.0,28573110721.0,795182355.0,70650601.0,79605504.0,154235664.0,0.0,5251752.0,0.0,69102.0,base-activeLogic_2-Layer_6x_6z_1p_300s.csv,69102,6,6,True,72,1,300,2-Layer
4430989681.0,295569211922.0,54555294179328.0,4003828744192.0,74562802204672.0,33972007741.0,0.0,619321769.0,0.0,175809921.0,2602998.0,14974.0,156415752.0,12226948.0,69000313.0,3949152.0,7651482.0,0.0,6252824.0,0.0,82274.0,base-activeLogic_3-Layer_1x_1z_1p_300s.csv,82274,1,1,True,3,1,300,3-Layer
4338588800.0,295503199503.0,54328589516800.0,4112823070720.0,73727066484736.0,34560886355.0,0.0,592179295.0,0.0,731059480.0,2510595.0,18042.0,681872083.0,42075003.0,72262639.0,15581184.0,30188544.0,0.0,6167552.0,0.0,81152.0,base-activeLogic_3-Layer_2x_2z_1p_300s.csv,81152,2,2,True,12,1,300,3-Layer
4222739181.0,295526997586.0,55156905594880.0,4255320227840.0,74261737799680.0,36130654868.0,0.0,598122551.0,0.0,2406781515.0,2646210.0,18381.0,2289633381.0,109245138.0,71950655.0,34602768.0,67042863.0,0.0,6087524.0,0.0,80099.0,base-activeLogic_3-Layer_3x_3z_1p_300s.csv,80099,3,3,True,27,1,300,3-Layer
4159368993.0,295139763815.0,58300032851968.0,4014751522816.0,74134092718080.0,38279479355.0,0.0,610008976.0,0.0,5309124679.0,2984237.0,17788.0,5110843131.0,189405975.0,70312145.0,57670560.0,111736710.0,0.0,6087448.0,0.0,80098.0,base-activeLogic_3-Layer_3x_5z_1p_300s.csv,80098,3,5,True,45,1,300,3-Layer
4036048451.0,294493486975.0,57488875560960.0,3747846008832.0,72070858027008.0,41540122245.0,0.0,618109702.0,0.0,8751046841.0,3742130.0,26641.0,8467902446.0,271994438.0,66551420.0,67379904.0,130548564.0,0.0,5926936.0,0.0,77986.0,base-activeLogic_3-Layer_3x_6z_1p_300s.csv,77986,3,6,True,54,1,300,3-Layer
4228875300.0,294444785156.0,60154771079168.0,4249361346560.0,72392057139200.0,37842545879.0,0.0,568944321.0,0.0,5693370784.0,3004061.0,21738.0,5484464022.0,199886682.0,67172850.0,60933888.0,118059408.0,0.0,6029916.0,0.0,79341.0,base-activeLogic_3-Layer_4x_4z_1p_300s.csv,79341,4,4,True,48,1,300,3-Layer
3142150209.0,294495566890.0,50744612032512.0,3069947219968.0,63518940696576.0,70734104787.0,0.0,551086121.0,0.0,40115210797.0,8811430.0,62598.0,39088396719.0,999568629.0,66407240.0,81352800.0,157621050.0,0.0,5152344.0,0.0,67794.0,base-activeLogic_3-Layer_5x_5z_1p_300s.csv,67794,5,5,True,75,1,300,3-Layer
2444820157.0,295243092042.0,42971591688192.0,2802276495360.0,52770074210304.0,113617970070.0,0.0,478603047.0,0.0,88678218886.0,14700850.0,101907.0,86768089240.0,1865328977.0,57495598.0,83884320.0,162525870.0,0.0,4427228.0,0.0,58253.0,base-activeLogic_3-Layer_5x_6z_1p_300s.csv,58253,5,6,True,90,1,300,3-Layer
694808673.0,294028670213.0,20680549945344.0,1131219959808.0,23688527167488.0,225425280998.0,0.0,221121862.0,0.0,214087762943.0,24822699.0,168889.0,210144748545.0,3857378886.0,25382931.0,45484416.0,88126056.0,0.0,2000472.0,0.0,26322.0,base-activeLogic_3-Layer_6x_6z_1p_300s.csv,26322,6,6,True,108,1,300,3-Layer
4212963360.0,296787135513.0,53700546125824.0,3645694885888.0,72736520667136.0,33987095540.0,0.0,594825949.0,0.0,10492361.0,2535271.0,15374.0,2760463.0,484119.0,67619612.0,0.0,0.0,0.0,6119748.0,0.0,80523.0,base-activeLogic_Empty_0x_0z_1p_300s.csv,80523,0,0,True,0,1,300,Empty
